speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean,qud_answer_fit,qud_question_fit,winner
Lester Holt,"Let me interrupt just a moment, but…",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,"Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that weve created a movement. They should have been doing this for years. Whats happened to our jobs and our country and our economy generally is— look, we owe $20 trillion. We cannot do it any longer, Lester.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Lester Holt,"Back to the question, though. How do you bring back— specifically bring back jobs, American manufacturers? How do you make them bring the jobs back?",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,"Well, the first thing you do is dont let the jobs leave. The companies are leaving. I could name, I mean, there are thousands of them. Theyre leaving, and theyre leaving in bigger numbers than ever. And what you do is you say, fine, you want to go to Mexico or some other country, good luck. We wish you a lot of luck. But if you think youre going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, youre wrong. And once you say youre going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies. So what Im saying is, we can stop them from leaving. We have to stop them from leaving. And thats a big, big factor.",Pres,2016,2016-09-26,1,What actions should be taken to prevent companies from moving jobs overseas?,"How do you bring back— specifically bring back jobs, American manufacturers? How do you make them bring the jobs back?",0.9144562483,0.9057281613,0.7780476809,0.5088385344,Republican,How do you bring back American manufacturing jobs?,3.0,2.0,1.0
Lester Holt,Let me let Secretary Clinton get in here.,Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Hillary Clinton,"Well, lets stop for a second and remember where we were eight years ago. We had the worst financial crisis, the Great Recession, the worst since the 1930s. That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm. In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, “Gee, I hope it does collapse, because then I can go in and buy some and make some money. ” Well, it did collapse.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"Thats called business, by the way.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Nine million people— nine million people lost their jobs. Five million people lost their homes. And $13 trillion in family wealth was wiped out. Now, we have come back from that abyss. And it has not been easy. So were now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place. Independent experts have looked at what Ive proposed and looked at what Donalds proposed, and basically theyve said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle- class families compared to the wealthy, were to go into effect, we would lose 3. 5 million jobs and maybe have another recession. Theyve looked at my plans and theyve said, ok, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy. Take clean energy. Some country is going to be the clean- energy superpower of the 21st century. Donald thinks that climate change is a hoax perpetrated by the Chinese. I think its real.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,I did not. I did not. I do not say that.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,I think science is real.,Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,I do not say that.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"And I think its important that we grip this and deal with it, both at home and abroad. And heres what we can do. We can deploy a half a billion more solar panels. We can have enough clean energy to power every home. We can build a new modern electric grid. Thats a lot of jobs; thats a lot of new economic activity. So Ive tried to be very specific about what we can and should do, and I am determined that were going to get the economy really moving again, building on the progress weve made over the last eight years, but never going back to what got us in trouble in the first place.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Lester Holt,Mr. Trump?,Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,"She talks about solar panels. We invested in a solar company, our country. That was a disaster. They lost plenty of money on that one. Now, look, Im a great believer in all forms of energy, but were putting a lot of people out of work. Our energy policies are a disaster. Our country is losing so much in terms of energy, in terms of paying off our debt. You cant do what youre looking to do with $20 trillion in debt. The Obama administration, from the time theyve come in, is over 230 years worth of debt, and hes topped it. Hes doubled it in a course of almost eight years, seven- and- a- half years, to be semi- exact. So I will tell you this. We have to do a much better job at keeping our jobs. And we have to do a much better job at giving companies incentives to build new companies or to expand, because theyre not doing it. And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, theyre gone. And, Hillary, Id just ask you this. Youve been doing this for 30 years. Why are you just thinking about these solutions right now? For 30 years, youve been doing it, and now youre just starting to think of solutions.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Well, actually…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,I will bring— excuse me. I will bring back jobs. You cant bring back jobs.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Well, actually, I have thought about this quite a bit.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"Yeah, for 30 years.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"And I have— well, not quite that long. I think my husband did a pretty good job in the 1990s. I think a lot about what worked and how we can make it work again…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"Well, he approved NAFTA… [crosstalk]",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"… million new jobs, a balanced budget…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"He approved NAFTA, which is the single worst trade deal ever approved in this country.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Incomes went up for everybody. Manufacturing jobs went up also in the 1990s, if were actually going to look at the facts. When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test. Will they create jobs in America? Will they raise incomes in America? And are they good for our national security? Some of them I voted for. The biggest one, a multinational one known as CAFTA, I voted against. And because I hold the same standards as I look at all of these trade deals. But lets not assume that trade is the only challenge we have in the economy. I think it is a part of it, and Ive said what Im going to do. Im going to have a special prosecutor. Were going to enforce the trade deals we have, and were going to hold people accountable. When I was secretary of state, we actually increased American exports globally 30 percent. We increased them to China 50 percent. So I know how to really work to get new jobs and to get exports that helped to create more new jobs.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Lester Holt,Very quickly…,Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,But you havent done it in 30 years or 26 years or any number you want to…,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Well, Ive been a senator, Donald…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,You havent done it. You havent done it.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,And I have been a secretary of state…,Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,Excuse me.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,And I have done a lot…,Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Well, thats your opinion. That is your opinion.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent. NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country. And now you want to approve Trans- Pacific Partnership. You were totally in favor of it. Then you heard what I was saying, how bad it is, and you said, I cant win that debate. But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA. Nothing will ever top NAFTA.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Well, that is just not accurate. I was against it once it was finally negotiated and the terms were laid out. I wrote about that in…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,You called it the gold standard. [crosstalk],Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Donald Trump,You called it the gold standard of trade deals. You said its the finest deal youve ever seen.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,No.,Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"And then you heard what I said about it, and all of a sudden you were against it.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Well, Donald, I know you live in your own reality, but that is not the facts. The facts are— I did say I hoped it would be a good deal, but when it was negotiated…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,Not.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"… which I was not responsible for, I concluded it wasnt. I wrote about that in my book…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,So is it President Obamas fault?,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,… before you even announced.,Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,Is it President Obamas fault?,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Look, there are differences…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"Secretary, is it President Obamas fault?",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,There are…,Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,Because hes pushing it.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"There are different views about whats good for our country, our economy, and our leadership in the world. And I think its important to look at what we need to do to get the economy going again. Thats why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,But you have no plan.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"But in— oh, but I do.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"Secretary, you have no plan.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"In fact, I have written a book about it. Its called “Stronger Together. ” You can pick it up tomorrow at a bookstore…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,Thats about all youve… [crosstalk],Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Lester Holt,"Folks, were going to…",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Hillary Clinton,… or at an airport near you.,Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Lester Holt,Were going to move to…,Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Hillary Clinton,"But its because I see this— we need to have strong growth, fair growth, sustained growth. We also have to look at how we help families balance the responsibilities at home and the responsibilities at business. So we have a very robust set of plans. And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3. 5 million jobs, and explode the debt which would have a recession.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"You are going to approve one of the biggest tax cuts in history. You are going to approve one of the biggest tax increases in history. You are going to drive business out. Your regulations are a disaster, and youre going to increase regulations all over the place. And by the way, my tax cut is the biggest since Ronald Reagan. Im very proud of it. It will create tremendous numbers of new jobs. But regulations, you are going to regulate these businesses out of existence. When I go around— Lester, I tell you this, Ive been all over. And when I go around, despite the tax cut, the thing— the things that business as in people like the most is the fact that Im cutting regulation. You have regulations on top of regulations, and new companies cannot form and old companies are going out of business. And you want to increase the regulations and make them even worse. Im going to cut regulations. Im going to cut taxes big league, and youre going to raise taxes big league, end of story.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Lester Holt,"Let me get you to pause right there, because were going to move into— were going to move into the next segment. Were going to talk taxes…",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Hillary Clinton,That cant— that cant be left to stand.,Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Lester Holt,Please just take 30 seconds and then were going to go on.,Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Hillary Clinton,"I kind of assumed that there would be a lot of these charges and claims, and so…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,Facts.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"So we have taken the home page of my website, HillaryClinton. com, and weve turned it into a fact- checker. So if you want to see in real- time what the facts are, please go and take a look. Because what I have proposed…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"And take a look at mine, also, and youll see.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"… would not add a penny to the debt, and your plans would add $5 trillion to the debt. What I have proposed would cut regulations and streamline them for small businesses. What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy. And I think its time that the wealthy and corporations paid their fair share to support this country.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Lester Holt,"Well, you just opened the next segment.",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,"Well, could I just finish— I think I… [crosstalk]",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Lester Holt,Im going to give you a chance right here…,Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,"I think I should— you go to her website, and you take a look at her website.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Lester Holt,… with a new 15- minute segment…,Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,Shes going to raise taxes $1. 3 trillion.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Lester Holt,"Mr. Trump, Im going to…",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,And look at her website. You know what? Its no difference than this. Shes telling us how to fight ISIS. Just go to her website. She tells you how to fight ISIS on her website. I dont think General Douglas MacArthur would like that too much.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Lester Holt,"The next segment, were continuing…",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Hillary Clinton,"Well, at least I have a plan to fight ISIS.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Lester Holt,… achieving prosperity…,Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,"No, no, youre telling the enemy everything you want to do.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"No, were not. No, were not.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,"See, youre telling the enemy everything you want to do. No wonder youve been fighting— no wonder youve been fighting ISIS your entire adult life.",Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Thats a— thats— go to the— please, fact checkers, get to work.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Lester Holt,"ok, you are unpacking a lot here. And were still on the issue of achieving prosperity. And I want to talk about taxes. The fundamental difference between the two of you concerns the wealthy. Secretary Clinton, youre calling for a tax increase on the wealthiest Americans. Id like you to further defend that. And, Mr. Trump, youre calling for tax cuts for the wealthy. Id like you to defend that. And this next two- minute answer goes to you, Mr. Trump.",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,"Well, Im really calling for major jobs, because the wealthy are going to create tremendous jobs. Theyre going to expand their companies. Theyre going to do a tremendous job. Im getting rid of the carried interest provision. And if you really look, its not a tax— its really not a great thing for the wealthy. Its a great thing for the middle class. Its a great thing for companies to expand. And when these people are going to put billions and billions of dollars into companies, and when theyre going to bring $2. 5 trillion back from overseas, where they cant bring the money back, because politicians like Secretary Clinton wont allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what— is so bad. So what theyre doing is theyre leaving our country, and theyre, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country. And instead of bringing it back and putting the money to work, because they cant work out a deal to— and everybody agrees it should be brought back. Instead of that, theyre leaving our country to get their money, because they cant bring their money back into our country, because of bureaucratic red tape, because they cant get together. Because we have— we have a president that cant sit them around a table and get them to approve something. And heres the thing. Republicans and Democrats agree that this should be done, $2. 5 trillion. I happen to think its double that. Its probably $5 trillion that we cant bring into our country, Lester. And with a little leadership, youd get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful. But we have no leadership. And honestly, that starts with Secretary Clinton.",Pres,2016,2016-09-26,1,How can the United States encourage wealthy individuals to bring their overseas earnings back and invest in job creation?,"And I want to talk about taxes. The fundamental difference between the two of you concerns the wealthy. Secretary Clinton, youre calling for a tax increase on the wealthiest Americans. Id like you to further defend that. And, Mr. Trump, youre calling for tax cuts for the wealthy. Id like you to defend that. ",0.8340010643,0.9238688946,0.7345200181,0.2864167094,Republican,"Secretary Clinton, can you further defend your call for a tax increase on the wealthiest Americans, and Mr. Trump, can you defend your call for tax cuts for the wealthy?",3.0,3.0,1.0
Lester Holt,"All right. You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Hillary Clinton,"I have a feeling that by, the end of this evening, Im going to be blamed for everything thats ever happened.",Pres,2016,2016-09-26,1,What do you expect will happen by the end of the evening in terms of blame or accountability?,"And I want to talk about taxes. The fundamental difference between the two of you concerns the wealthy. Secretary Clinton, youre calling for a tax increase on the wealthiest Americans. Id like you to further defend that. And, Mr. Trump, youre calling for tax cuts for the wealthy. Id like you to defend that. ",0.9159868956,0.9104378223,0.7361236215,0.2069960684,Democratic,What is your position on tax increases for the wealthy?,3.0,1.0,0.0
Donald Trump,Why not?,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Why not? Yeah, why not? [laughter] You know, just join the debate by saying more crazy things. Now, let me say this, it is absolutely the case…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,Theres nothing crazy about not letting our companies bring their money back into their country.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Lester Holt,"This is— this is Secretary Clintons two minutes, please.",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,Yes.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"Yeah, well, lets start the clock again, Lester. Weve looked at your tax proposals. I dont see changes in the corporate tax rates or the kinds of proposals youre referring to that would cause the repatriation, bringing back of money thats stranded overseas. I happen to support that.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,Then you didnt read it.,Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Hillary Clinton,"I happen to— I happen to support that in a way that will actually work to our benefit. But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do. Youve proposed an approach that has a…",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Donald Trump,Who gave it that name? The first Ive— who gave it that name? [crosstalk],Pres,2016,2016-09-26,1,,,,,,,Republican,,,,1.0
Lester Holt,"Mr. Trump, this is Secretary Clintons two minutes.",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
