speaker,text,type,election_year,date,candidate,qud
Jim Lehrer,"Both of you have spoken about a lot of different things, and were going to try to get through them in as specific a way as we possibly can. But, first, Governor Romney, do you have a question that youd like to ask the president directly about something he just said?",Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"Well, sure. Id like to clear up the record and go through it piece by piece. First of all, I dont have a $5 trillion tax cut. I dont have a tax cut of a scale that youre talking about. My view is that we ought to provide tax relief to people in the middle class. But Im not going to reduce the share of taxes paid by high- income people. High- income people are doing just fine in this economy. Theyll do fine whether youre president or I am. The people who are having the hard time right now are middle- income Americans. Under the presidents policies, middle- income Americans have been buried. Theyre just being crushed. Middle- income Americans have seen their income come down by $4, 300. This is a — this is a tax in and of itself. Ill call it the economy tax. Its been crushing. At the same time, gasoline prices have doubled under the president. Electric rates are up. Food prices are up. Health care costs have gone up by $2, 500 a family. Middle- income families are being crushed.",Pres,2012.0,2012-10-03,1.0,What challenges are middle-income Americans currently facing in the economy?
Mitt Romney,"And so the question is how to get them going again. And Ive described it. Its energy and trade, the right kind of training programs, balancing our budget and helping small business. Those are the — the cornerstones of my plan. But the president mentioned a couple of other ideas Ill just note. First, education. I agree; Education is key, particularly the future of our economy. But our training programs right now, weve got 47 of them, housed in the federal government, reporting to eight different agencies. Overhead is overwhelming. Weve got to get those dollars back to the states and go to the workers so they can create their own pathways to get in the training they need for jobs that will really help them. The second area, taxation, we agree, we ought to bring the tax rates down. And I do, both for corporations and for individuals. But in order for us not to lose revenue, have the government run out of money, I also lower deductions and credits and exemptions, so that we keep taking in the same money when you also account for growth. The third area, energy. Energy is critical, and the president pointed out correctly that production of oil and gas in the U. S. is up. But not due to his policies. In spite of his policies. Mr. President, all of the increase in natural gas and oil has happened on private land, not on government land. On government land, your administration has cut the number of permits and licenses in half. If Im president, Ill double them, and also get the — the oil from offshore and Alaska. And Ill bring that pipeline in from Canada. And, by the way, I like coal. Im going to make sure we can continue to burn clean coal. People in the coal industry feel like its getting crushed by your policies. I want to get America and North America energy independent so we can create those jobs. And finally, with regards to that tax cut, look, Im not looking to cut massive taxes and to reduce the — the revenues going to the government. My — my number- one principal is, there will be no tax cut that adds to the deficit. I want to underline that; no tax cut that adds to the deficit. But I do want to reduce the burden being paid by middle- income Americans. And I — and to do that, that also means I cannot reduce the burden paid by high- income Americans. So any — any language to the contrary is simply not accurate.",Pres,2012.0,2012-10-03,1.0,What key areas should be focused on to revitalize the economy and ensure fiscal responsibility?
Jim Lehrer,Mr. President?,Pres,2012.0,2012-10-03,0.0,
Barack Obama,"Well, I think — lets talk about taxes, because I think its instructive. Now, four years ago, when I stood on this stage, I said that I would cut taxes for middle- class families. And thats exactly what I did. We cut taxes for middle- class families by about $3, 600. And the reason is, because I believe that we do best when the middle class is doing well. And by giving them those tax cuts, they had a little more money in their pocket, and so maybe they can buy a new car. They are certainly in a better position to weather the extraordinary recession that we went through. They can buy a computer for their kid whos going off to college, which means theyre spending more money, businesses have more customers, businesses make more profits, and then hire more workers. Now, Governor Romneys proposal that he has been promoting for 18 months calls for a $5 trillion tax cut, on top of $2 trillion of additional spending for our military. And he is saying that he is going to pay for it by closing loopholes and deductions. The problem is that hes been asked over 100 times how you would close those deductions and loopholes, and he hasnt been able to identify them. But Im going to make an important point here, Jim.",Pres,2012.0,2012-10-03,1.0,What impact do tax cuts for middle-class families have on the economy?
Jim Lehrer,All right.,Pres,2012.0,2012-10-03,0.0,
Barack Obama,"When you add up all the loopholes and deductions that upper- income individuals can — are currently taking advantage of, you take those all away, you dont come close to paying for $5 trillion in tax cuts and $2 trillion in additional military spending.",Pres,2012.0,2012-10-03,1.0,How do current tax loopholes and deductions impact the funding of proposed tax cuts and military spending?
Barack Obama,"And thats why independent studies looking at this said the only way to meet Governor Romneys pledge of not reducing the deficit or — or — or not adding to the deficit is by burdening middle- class families. The average middle- class family with children would pay about $2, 000 more. Now, thats not my analysis. Thats the analysis of economists who have looked at this. And — and that kind of top — top- down economics, where folks at the top are doing well, so the average person making $3 million is getting a $250, 000 tax break, while middle- class families are burdened further, thats not what I believe is a recipe for economic growth.",Pres,2012.0,2012-10-03,1.0,How would Governor Romney's economic policies impact middle-class families in terms of their financial burdens?
Jim Lehrer,All right. What is the difference? Lets just stay on taxes. (CROSSTALK),Pres,2012.0,2012-10-03,0.0,
Jim Lehrer,Just — lets just stay on taxes for (inaudible) . (CROSSTALK),Pres,2012.0,2012-10-03,0.0,
Jim Lehrer,What is the difference…,Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"Well, but — but virtually — virtually everything he just said about my tax plan is inaccurate.",Pres,2012.0,2012-10-03,1.0,What inaccuracies exist in the speaker's opponent's description of their tax plan?
Jim Lehrer,All right.,Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"So if the tax plan he described were a tax plan I was asked to support, Id say absolutely not. Im not looking for a $5 trillion tax cut. What Ive said is I wont put in place a tax cut that adds to the deficit. Thats part one. So theres no economist that can say Mitt Romneys tax plan adds $5 trillion if I say I will not add to the deficit with my tax plan. Number two, I will not reduce the share paid by high- income individuals. I know that you and your running mate keep saying that and I know its a popular thing to say with a lot of people, but its just not the case. Look, Ive got five boys. Im used to people saying something thats not always true, but just keep on repeating it and ultimately hoping Ill believe it. But that — that is not the case. All right? I will not reduce the taxes paid by high- income Americans. And number three, I will not under any circumstances raise taxes on middle- income families. I will lower taxes on middle- income families. Now, you cite a study. There are six other studies that looked at the study you describe and say its completely wrong. I saw a study that came out today that said youre going to raise taxes by $3, 000 to $4, 000 on middle- income families. There are all these studies out there. But lets get at the bottom line. That is, I want to bring down rates. I want to bring the rates down, at the same time lower deductions and exemptions and credits and so forth, so we keep getting the revenue we need. And youd think, well, then why lower the rates?",Pres,2012.0,2012-10-03,1.0,What are the key principles that guide your tax plan and how do they differ from Mitt Romney's proposed tax plan?
Mitt Romney,"And the reason is because small business pays that individual rate; 54 percent of Americas workers work in businesses that are taxed not at the corporate tax rate, but at the individual tax rate. And if we lower that rate, they will be able to hire more people. For me, this is about jobs. This is about getting jobs for the American people. (CROSSTALK)",Pres,2012.0,2012-10-03,1.0,How will lowering the individual tax rate for small businesses impact job creation in America?
Jim Lehrer,Thats where we started. Yeah. Do you challenge what the governor just said about his own plan?,Pres,2012.0,2012-10-03,0.0,
Barack Obama,"Well, for 18 months hes been running on this tax plan. And now, five weeks before the election, hes saying that his big, bold idea is, “Never mind. ” And the fact is that if you are lowering the rates the way you described, Governor, then it is not possible to come up with enough deductions and loopholes that only affect high- income individuals to avoid either raising the deficit or burdening the middle class. Its — its math. Its arithmetic. Now, Governor Romney and I do share a deep interest in encouraging small- business growth. So at the same time that my tax plan has already lowered taxes for 98 percent of families, I also lowered taxes for small businesses 18 times. And what I want to do is continue the tax rates — the tax cuts that we put into place for small businesses and families. But I have said that for incomes over $250, 000 a year, that we should go back to the rates that we had when Bill Clinton was president, when we created 23 million new jobs, went from deficit to surplus, and created a whole lot of millionaires to boot. And the reason this is important is because by doing that, we cannot only reduce the deficit, we cannot only encourage job growth through small businesses, but were also able to make the investments that are necessary in education or in energy.",Pres,2012.0,2012-10-03,1.0,What are the implications of the proposed tax plan on middle-class families and the national deficit?
Barack Obama,"And we do have a difference, though, when it comes to definitions of small business. Under — under my plan, 97 percent of small businesses would not see their income taxes go up. Governor Romney says, well, those top 3 percent, theyre the job creators, theyd be burdened. But under Governor Romneys definition, there are a whole bunch of millionaires and billionaires who are small businesses. Donald Trump is a small business. Now, I know Donald Trump doesnt like to think of himself as small anything, but — but thats how you define small businesses if youre getting business income. And that kind of approach, I believe, will not grow our economy, because the only way to pay for it without either burdening the middle class or blowing up our deficit is to make drastic cuts in things like education, making sure that we are continuing to invest in basic science and research, all the things that are helping America grow. And I think that would be a mistake.",Pres,2012.0,2012-10-03,1.0,What are the differences in definitions of small business and their implications for economic growth?
Jim Lehrer,All right.,Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"Jim, let me just come back on that — on that point, which is these…",Pres,2012.0,2012-10-03,1.0,"What point is Jim addressing, and what is the significance of that point?"
Jim Lehrer,Just for the — just for record… (CROSSTALK),Pres,2012.0,2012-10-03,0.0,
Mitt Romney,… the small businesses were talking about…,Pres,2012.0,2012-10-03,1.0,What role do small businesses play in the economy?
Jim Lehrer,"Excuse me. Excuse me. Just so everybody understands, were way over our first 15 minutes.",Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"Its fun, isnt it?",Pres,2012.0,2012-10-03,1.0,What makes this enjoyable?
Jim Lehrer,"Its ok, its great. No problem. Well, you all dont have — you dont have a problem, I dont have a problem, because were still on the economy. Were going to come back to taxes. I want move on to the deficit and a lot of other things, too. ok, but go ahead, sir.",Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"You bet. Well, President, youre — Mr. President, youre absolutely right, which is that, with regards to 97 percent of the businesses are not — not taxed at the 35 percent tax rate, theyre taxed at a lower rate. But those businesses that are in the last 3 percent of businesses happen to employ half — half of all the people who work in small business. Those are the businesses that employ one- quarter of all the workers in America. And your plan is to take their tax rate from 35 percent to 40 percent. Now, and — and Ive talked to a guy who has a very small business. Hes in the electronics business in — in St. Louis. He has four employees. He said he and his son calculated how much they pay in taxes, federal income tax, federal payroll tax, state income tax, state sales tax, state property tax, gasoline tax. It added up to well over 50 percent of what they earned. And your plan is to take the tax rate on successful small businesses from 35 percent to 40 percent. The National Federation of Independent Businesses has said that will cost 700, 000 jobs. I dont want to cost jobs. My priority is jobs. And so what I do is I bring down the tax rates, lower deductions and exemptions, the same idea behind Bowles- Simpson, by the way, get the rates down, lower deductions and exemptions, to create more jobs, because theres nothing better for getting us to a balanced budget than having more people working, earning more money, paying more taxes. Thats by far the most effective and efficient way to get this budget balanced.",Pres,2012.0,2012-10-03,1.0,What impact will increasing the tax rate on small businesses have on employment and job creation?
Barack Obama,"Jim, I — you may want to move onto another topic, but I — I would just say this to the American people. If you believe that we can cut taxes by $5 trillion and add $2 trillion in additional spending that the military is not asking for, $7 trillion — just to give you a sense, over 10 years, thats more than our entire defense budget — and you think that by closing loopholes and deductions for the well- to- do, somehow you will not end up picking up the tab, then Governor Romneys plan may work for you. But I think math, common sense, and our history shows us thats not a recipe for job growth. Look, weve tried this. Weve tried both approaches. The approach that Governor Romneys talking about is the same sales pitch that was made in 2001 and 2003, and we ended up with the slowest job growth in 50 years, we ended up moving from surplus to deficits, and it all culminated in the worst financial crisis since the Great Depression.",Pres,2012.0,2012-10-03,1.0,What are the potential economic consequences of the tax and spending plan proposed by Governor Romney?
Barack Obama,"Bill Clinton tried the approach that Im talking about. We created 23 million new jobs. We went from deficit to surplus. And businesses did very well. So, in some ways, weve got some data on which approach is more likely to create jobs and opportunity for Americans and I believe that the economy works best when middle- class families are getting tax breaks so that theyve got some money in their pockets, and those of us who have done extraordinarily well because of this magnificent country that we live in, that we can afford to do a little bit more to make sure were not blowing up the deficit.",Pres,2012.0,2012-10-03,1.0,What evidence is there to support the effectiveness of tax breaks for middle-class families in stimulating job creation and economic growth?
Mitt Romney,"Jim, the president began this segment, so I think I get the last word. (CROSSTALK)",Pres,2012.0,2012-10-03,1.0,What is the significance of having the opportunity to make a concluding statement in this discussion?
Jim Lehrer,"Well, youre going to get the first word in the next segment.",Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"All right. Well, but he gets the first word of that segment. I get the last word (inaudible) I hope. Let me just make this comment. (CROSSTALK)",Pres,2012.0,2012-10-03,1.0,What is the significance of having the first and last word in a discussion segment?
Mitt Romney,"I think first of all, let me — let me repeat — let me repeat what I said. Im not in favor of a $5 trillion tax cut. Thats not my plan. My plan is not to put in place any tax cut that will add to the deficit. Thats point one. So you may keep referring to it as a $5 trillion tax cut, but thats not my plan. Number two, lets look at history. My plan is not like anything thats been tried before. My plan is to bring down rates, but also bring down deductions and exemptions and credits at the same time so the revenue stays in, but that we bring down rates to get more people working. My priority is putting people back to work in America. Theyre suffering in this country. And we talk about evidence. Look at the evidence of the last four years. Its absolutely extraordinary. Weve got 23 million people out of work or stopped looking for work in this country. Its just — its — weve got — when the president took office, 32 million people on food stamps; 47 million on food stamps today; economic growth this year slower than last year, and last year slower than the year before. Going forward with the status quo is not going to cut it for the American people who are struggling today.",Pres,2012.0,2012-10-03,1.0,What is the speaker's plan for addressing tax policy and unemployment in the United States?
Jim Lehrer,"All right. Lets talk — were still on the economy. This is, theoretically now, a second segment still on the economy, and specifically on what to do about the federal deficit, the federal debt. And the question, you each have two minutes on this, and Governor Romney, you — you go first because the president went first on segment one. And the question is this, what are the differences between the two of you as to how you would go about tackling the deficit problem in this country?",Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"Good. Im glad you raised that, and its a — its a critical issue. I think its not just an economic issue, I think its a moral issue. I think its, frankly, not moral for my generation to keep spending massively more than we take in, knowing those burdens are going to be passed on to the next generation and theyre going to be paying the interest and the principal all their lives. And the amount of debt were adding, at a trillion a year, is simply not moral. So how do we deal with it? Well, mathematically, there are three ways that you can cut a deficit. One, of course, is to raise taxes. Number two is to cut spending. And number is to grow the economy, because if more people work in a growing economy, theyre paying taxes, and you can get the job done that way. The presidents would — president would prefer raising taxes. I understand. The problem with raising taxes is that it slows down the rate of growth. And you could never quite get the job done. I want to lower spending and encourage economic growth at the same time. What things would I cut from spending? Well, first of all, I will eliminate all programs by this test, if they dont pass it; Is the program so critical its worth borrowing money from China to pay for it? And if not, Ill get rid of it. Obamacares on my list. I apologize, Mr. President. I use that term with all respect, by the way.",Pres,2012.0,2012-10-03,1.0,What are the proposed solutions to address the issue of government spending and national debt?
Barack Obama,I like it.,Pres,2012.0,2012-10-03,1.0,What is your opinion about it?
Mitt Romney,"Good. ok, good. So Ill get rid of that. Im sorry, Jim, Im going to stop the subsidy to PBS. Im going to stop other things. I like PBS, I love Big Bird. Actually like you, too. But Im not going to — Im not going to keep on spending money on things to borrow money from China to pay for. Thats number one. Number two, Ill take programs that are currently good programs but I think could be run more efficiently at the state level and send them to the state.",Pres,2012.0,2012-10-03,1.0,What changes will be made to government spending and program management?
Mitt Romney,"Number three, Ill make government more efficient and to cut back the number of employees, combine some agencies and departments. My cutbacks will be done through attrition, by the way. This is the approach we have to take to get America to a balanced budget. The president said hed cut the deficit in half. Unfortunately, he doubled it. Trillion- dollar deficits for the last four years. The presidents put it in place as much public debt — almost as much debt held by the public as al prior presidents combined.",Pres,2012.0,2012-10-03,1.0,What strategies can be implemented to make government more efficient and reduce the deficit?
Jim Lehrer,"Mr. President, two minutes.",Pres,2012.0,2012-10-03,0.0,
Barack Obama,"When I walked into the Oval Office, I had more than a trillion- dollar deficit greeting me. And we know where it came from; two wars that were paid for on a credit card; two tax cuts that were not paid for; and a whole bunch of programs that were not paid for; and then a massive economic crisis. And despite that, what weve said is, yes, we had to take some initial emergency measures to make sure we didnt slip into a Great Depression, but what weve also said is, lets make sure that we are cutting out those things that are not helping us grow. So 77 government programs, everything from aircrafts that the Air Force had ordered but werent working very well, 18 government — 18 government programs for education that were well- intentioned, not werent helping kids learn, we went after medical fraud in Medicare and Medicaid very aggressively, more aggressively than ever before, and have saved tens of billions of dollars, $50 billion of waste taken out of the system. And I worked with Democrats and Republicans to cut a trillion dollars out of our discretionary domestic budget. Thats the largest cut in the discretionary domestic budget since Dwight Eisenhower. Now, we all know that weve got to do more. And so Ive put forward a specific $4 trillion deficit reduction plan. Its on a website. You can look at all the numbers, what cuts we make and what revenue we raise. And the way we do it is $2. 50 for every cut, we ask for $1 of additional revenue, paid for, as I indicated earlier, by asking those of us who have done very well in this country to contribute a little bit more to reduce the deficit. Governor Romney earlier mentioned the Bowles- Simpson commission. Well, thats how the commission — bipartisan commission that talked about how we should move forward suggested we have to do it, in a balanced way with some revenue and some spending cuts. And this is a major difference that Governor Romney and I have. Let — let me just finish their point, because youre looking for contrast. You know, when Governor Romney stood on a stage with other Republican candidates for the nomination and he was asked, would you take $10 of spending cuts for just $1 of revenue? And he said no. Now, if you take such an unbalanced approach, then that means you are going to be gutting our investments in schools and education. It means that Governor Romney… (CROSSTALK)",Pres,2012.0,2012-10-03,1.0,What measures have been taken to address the trillion-dollar deficit and what is the proposed approach for further deficit reduction?
Barack Obama,"… talked about Medicaid and how we could send it back to the states, but effectively this means a 30 percent cut in the primary program we help for seniors who are in nursing homes, for kids who are with disabilities.",Pres,2012.0,2012-10-03,1.0,What are the implications of sending Medicaid back to the states on funding for seniors in nursing homes and children with disabilities?
Jim Lehrer,"Mr. President, Im sorry.",Pres,2012.0,2012-10-03,0.0,
Barack Obama,And — and that is not a right strategy for us to move forward.,Pres,2012.0,2012-10-03,1.0,What strategy should the United States adopt to move forward effectively?
Jim Lehrer,Way over the two minutes.,Pres,2012.0,2012-10-03,0.0,
Barack Obama,Sorry.,Pres,2012.0,2012-10-03,1.0,What is the speaker's perspective on the importance of government spending control?
Jim Lehrer,"Governor, what about Simpson- Bowles? Do you support Simpson- Bowles?",Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"Simpson- Bowles, the president should have grabbed that.",Pres,2012.0,2012-10-03,1.0,Why should the president have taken action on the Simpson-Bowles proposal?
Jim Lehrer,"No, I mean, do you support Simpson- Bowles?",Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"I have my own plan. Its not the same as Simpson- Bowles. But in my view, the president should have grabbed it. If you wanted to make some adjustments to it, take it, go to Congress, fight for it.",Pres,2012.0,2012-10-03,1.0,What should the president have done regarding the Simpson-Bowles plan?
Barack Obama,"Thats what weve done, made some adjustments to it, and were putting it forward before Congress right now, a $4 trillion plan…",Pres,2012.0,2012-10-03,1.0,What is the purpose of the $4 trillion plan being presented to Congress?
Mitt Romney,But youve been — but youve been president four years… (CROSSTALK),Pres,2012.0,2012-10-03,1.0,What have been the significant accomplishments or challenges faced during the four years of your presidency?
Mitt Romney,"Youve been president four years. You said youd cut the deficit in half. Its now four years later. We still have trillion- dollar deficits. The CBO says well have a trillion- dollar deficit each of the next four years. If youre re- elected, well get to a trillion- dollar debt.",Pres,2012.0,2012-10-03,1.0,What has been the outcome of the promise to cut the deficit in half during the presidency?
Mitt Romney,"I mean, you have said before youd cut the deficit in half. And this — I love this idea of $4 trillion in cuts. You found $4 trillion of ways to reduce or to get closer to a balanced budget, except we still show trillion- dollar deficits every year. That doesnt get the job done. Let me come back and say, why is it that I dont want to raise taxes? Why dont I want to raise taxes on people? And actually, you said it back in 2010. You said, “Look, Im going to extend the tax policies that we have now; Im not going to raise taxes on anyone, because when the economy is growing slow like this, when were in recession, you shouldnt raise taxes on anyone. ” Well, the economy is still growing slow. As a matter of fact, its growing much more slowly now than when you made that statement. And so if you believe the same thing, you just dont want to raise taxes on people. And the reality is its not just wealthy people — you mentioned Donald Trump. Its not just Donald Trump youre taxing. Its all those businesses that employ one- quarter of the workers in America; these small businesses that are taxed as individuals. You raise taxes and you kill jobs. Thats why the National Federation of Independent Businesses said your plan will kill 700, 000 jobs. I dont want to kill jobs in this environment. Ill make one more point. (CROSSTALK)",Pres,2012.0,2012-10-03,1.0,What are the potential consequences of raising taxes on small businesses and their impact on job creation?
Jim Lehrer,(inaudible) answer the taxes thing for a moment.,Pres,2012.0,2012-10-03,0.0,
Mitt Romney,ok.,Pres,2012.0,2012-10-03,1.0,Please provide a statement for me to generate the implicit question.
Jim Lehrer,Mr. President?,Pres,2012.0,2012-10-03,0.0,
Barack Obama,"Well, weve had this discussion before.",Pres,2012.0,2012-10-03,1.0,What previous topics or issues have been discussed before?
Jim Lehrer,"About the idea that in order to reduce the deficit, there has to be revenue in addition to cuts.",Pres,2012.0,2012-10-03,0.0,
Barack Obama,"There has to be revenue in addition to cuts. Now, Governor Romney has ruled out revenue. Hes ruled out revenue. (CROSSTALK)",Pres,2012.0,2012-10-03,1.0,What is the importance of including revenue solutions alongside spending cuts in fiscal policy?
Mitt Romney,Absolutely. (CROSSTALK),Pres,2012.0,2012-10-03,1.0,What is your perspective on the current discussion or topic at hand?
Mitt Romney,"Look, the revenue I get is by more people working, getting higher pay, paying more taxes. Thats how we get growth and how we balance the budget. But the idea of taxing people more, putting more people out of work, youll never get there. Youll never balance the budget by raising taxes. Spain — Spain spends 42 percent of their total economy on government. Were now spending 42 percent of our economy on government. I dont want to go down the path to Spain. I want to go down the path of growth that puts Americans to work with more money coming in because theyre working.",Pres,2012.0,2012-10-03,1.0,"What is the relationship between employment rates, taxation, and government spending in achieving economic growth and a balanced budget?"
Jim Lehrer,"But — but Mr. President, youre saying in order to — to get the job done, its got to be balanced. Youve got to have… (CROSSTALK)",Pres,2012.0,2012-10-03,0.0,
Barack Obama,"If — if were serious, weve got to take a balanced, responsible approach. And by the way, this is not just when it comes to individual taxes. Lets talk about corporate taxes. Now, Ive identified areas where we can, right away, make a change that I believe would actually help the economy. The oil industry gets $4 billion a year in corporate welfare. Basically, they get deductions that those small businesses that Governor Romney refers to, they dont get. Now, does anybody think that ExxonMobil needs some extra money, when theyre making money every time you go to the pump? Why wouldnt we want to eliminate that? Why wouldnt we eliminate tax breaks for corporate jets? My attitude is, if you got a corporate jet, you can probably afford to pay full freight, not get a special break for it. When it comes to corporate taxes, Governor Romney has said he wants to, in a revenue neutral way, close loopholes, deductions — he hasnt identified which ones they are — but that thereby bring down the corporate rate. Well, I want to do the same thing, but Ive actually identified how we can do that. And part of the way to do it is to not give tax breaks to companies that are shipping jobs overseas. Right now, you can actually take a deduction for moving a plant overseas. I think most Americans would say that doesnt make sense. And all that raises revenue. And so if we take a balanced approach, what that then allows us to do is also to help young people, the way we already have during my administration, make sure that they can afford to go to college.",Pres,2012.0,2012-10-03,1.0,What changes can be made to corporate taxes to create a more balanced and responsible tax system that supports the economy?
