speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean,qud_answer_fit,qud_question_fit,winner
Michael Dukakis,"Im saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention. And Mr. Bush is right – the two go hand in hand. But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we dont understand that that sends out a very, very bad message to our young people, its a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you. Now, Ive outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together. But we also have to take demand seriously. You know, we have five percent of the worlds population in this country. Were consuming 50 percent of the worlds cocaine. And in my state Im proud to say weve organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country. Were helping youngsters; were reaching out to them. And were beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state, and thats the kind of effort we need in every elementary school in the United States of America. And weve got to begin early, in the first, second and third grade, before our youngsters begin to experiment with these very, very dangerous substances. I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country. If he or representatives of the administration are either with or involving people like Noriega in our foreign policy, or dont pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country.",Pres,1988,1988-09-25,1,What is the responsibility of political leaders in addressing drug trafficking and promoting drug prevention and education for young people?,"Governor, a follow- up question. You have two minutes to answer it. Are you suggesting, sir, that President Reagan is one of the causes of the drug problem in this country?",0.8319551349,0.9060566425,0.733328104,0.5103518963,Democratic,Are you suggesting that President Reagan is one of the causes of the drug problem in this country?,3.0,3.0,0.0
Jim Lehrer,"A minute to rebut, Mr. Vice President.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
George H. W. Bush,"Well, the other day my opponent was given a briefing by the CIA. I asked for and received the same briefing. I am very careful in public life about dealing with classified information. And what Im about to say is unclassified. Seven administrations were dealing with Mr. Noriega. It was the Reagan- Bush administration that brought this man to justice. And as the governor of Massachusetts knows, there was no evidence that governor – that Mr. Noriega was involved in drugs, no hard evidence until we indicted him. And so I think its about time we get this Noriega matter in perspective. Panama is a friendly country. I went down there and talked to the president of Panama about cleaning up their money laundering, and Mr. Noriega was there, but there was no evidence at that time, and when the evidence was there, we indicted him. And we want to bring him to justice. And so call off all those pickets out there that are trying to tear down seven different administrations.",Pres,1988,1988-09-25,1,,,,,,,Republican,,,,1.0
Jim Lehrer,"All right, the next question will be asked by John Mashek. It goes to Governor Dukakis, and youll have two minutes to answer.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
John Mashek,"Governor Dukakis, another troublesome issue for voters this year is the bulging federal deficit. In a Dukakis administration, you say taxes will be raised only as a last resort. Would you identify for us then please three specific programs that you are willing to cut to bring that deficit down?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,"Yes, Ive been very specific about those, John. And let me lay out for you my own strategy for bring that deficit down, because as a chief executive thats balanced ten budgets in a row, Ive had to make those tough decisions and those tough choices. First, Ive suggested that there are certain weapons systems which we dont need and we cant afford. Mr. Bush has been critical of me for that, but I think those are the kinds of tough choices you have to make. Ive also suggested that there are weapons systems that we should proceed on, and Ive outlined those in detail. Secondly, weve got to invest in economic growth in this country, in every part of this country. Building that kind of growth expands revenues and helps to bring down that deficit. Thirdly, we have to bring interest rates down, and we will as we come up with a good, solid plan with the Congress for bringing that deficit down. And, finally, weve got to go out there and collect billions and billions of dollars in taxes owed that arent being paid to this country. Its very unfair to the average taxpayer who pays his taxes and pays them on time to permit these monies to go uncollected. Ive also suggested that on the domestic side there are areas where we can make some cuts. We ought to be able to come up with an agricultural policy in this country that gives our farm families a fair price and a decent future without spending $20- 25 billion a year, which is what weve been doing under this administration. We can help people to live better lives, and at the same time save money by helping hundreds of thousands of families on welfare to get off or welfare, and to become productive citizens again. The thing I dont understand about Mr. Bushs approach to this is how he could possibly be serious about bringing that deficit down given what he says he wants to do. He seems to want to spend a great deal of money on just about every weapon system; he says hes against new taxes, although hes broken that pledge at least times in the last year that I know of; he wants to give the wealthiest taxpayers in this country a five year, $40 billion tax break. He also wants to spend a lot of money on additional programs. If he keeps this up, hes going to be the Joe Isuzu of American politics. (Laughter)",Pres,1988,1988-09-25,1,What is your strategy for reducing the federal deficit?,"Governor Dukakis, another troublesome issue for voters this year is the bulging federal deficit. In a Dukakis administration, you say taxes will be raised only as a last resort. Would you identify for us then please three specific programs that you are willing to cut to bring that deficit down?",0.95687747,0.9439555407,0.8838127851,0.7825497389,Democratic,What three specific programs are you willing to cut to bring the federal deficit down?,2.0,3.0,0.0
Michael Dukakis,But I hope you wont take my five seconds away from me. I will say this –,Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
Jim Lehrer,"Your two minutes is up, Governor.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,"If hes serious about what hes saying, then the only place he can go to balance that budget is to raid the Social Security Trust Fund, and he tried that in 1985, and I think hes going to try it again.",Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
Jim Lehrer,You have a minute to rebut.,Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
George H. W. Bush,Is this the time to unleash our one- liners? That answer was about as clear as Boston harbor. (Laughter),Pres,1988,1988-09-25,1,,,,,,,Republican,,,,1.0
George H. W. Bush,"Let me help the governor. There are so many things there, I dont quite know where to begin. When you cut capital gains, you put people to work. John Kennedy proposed cutting capital gains. Paul Tsongas, a liberal senator from Massachusetts said the dumbest thing I did was to oppose the capital gains cut. Its not going to cost the government money. Its going to increase revenues to the federal government, and its going to create jobs. So thats one of the things that I think makes a big difference between us. Massachusetts doesnt have an enormous defense budget, but nevertheless, the governor raised taxes five different times. That happens to be a fact. And so lets kind of stay on the issue, and I have made a specific proposal for what I call a flexible freeze. And it permits – economists on the East Coast and West think its good – it permits the president to sort out the priorities, and we continue to grow because I will not raise taxes.",Pres,1988,1988-09-25,1,,,,,,,Republican,,,,1.0
Jim Lehrer,"Your time is up, too. A follow- up, John.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
John Mashek,"Mr. Vice President, you have vowed not to raise taxes of any kind during your administration and at the same time youve proposed this capital gains cut, youve proposed more incentive breaks for the oil industry. Youve suggested new spending programs and even some Republicans say the flexible freeze you just spoke about will hardly make a dent in the deficit. Is the deficit no longer really a concern of yours, the Republican Party or the taxpayers?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
George H. W. Bush,"I think its the Republican Party and my concern to bring it down. And presidential leadership that I want to provide in this area will bring it down, but weve got to get the Democrats – Congress under control. They do all the spending, they appropriate every dime and tell us how to spend every dime. Id like to ask the Governor to join in getting for the president what 43 governors have, the line- item veto. He has to operate in Massachusetts under a balanced budget proviso. I would like a balanced budget amendment. But the dynamics of the economy – we cut the taxes and revenues are up by 25 percent in three years. So the problem is – its not that the working is being taxed too little or the person working out – the woman working in some factory being taxed too little. It is that we are continuing to spend too much. So, my formula says grow at the rate of inflation. Permit the president to set the priorities on where we do the spending. And remember the Federal deficit has come down $70 billion in one year, in 1987. And if we – and the – actually this year Congress is doing a little better in controlling the growth of spending. Spending was only up something like 4 percent. So, it isnt that were taking too little – from taxpayer – were spending too much still. And the formula Ive given you works, weve put it through a good economic model, weve got good economists on the West Coast, Michael Boskin and Marty Feldstein up there whos a very respected economist in the – Massachusetts. And they agree, that if we can do what Ive said, we can get it down without going and socking the American taxpayer once again. Capital gains, one more point on that, please lets learn from history. A capital gains differential will increase jobs, increase risk taking, increase revenues to the Federal Government.",Pres,1988,1988-09-25,1,What strategies can be implemented to reduce government spending and achieve a balanced budget?,"Mr. Vice President, you have vowed not to raise taxes of any kind during your administration and at the same time youve proposed this capital gains cut, youve proposed more incentive breaks for the oil industry. Youve suggested new spending programs and even some Republicans say the flexible freeze you just spoke about will hardly make a dent in the deficit. Is the deficit no longer really a concern of yours, the Republican Party or the taxpayers?",0.8581511378,0.8957387209,0.6783474684,0.291778326,Republican,Is the deficit no longer a concern of yours or the Republican Party?,3.0,3.0,1.0
Jim Lehrer,"Governor, you have a minute to rebut.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,"Well, I hope all of those Americans out there who are watching us, listening to us and trying to make up their mind about which one of us ought to be president of the United States listen to the Vice President very carefully. What hes proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30, 000 that were going to give to people making $200, 000 a year. Why thats more than the average teacher makes. Weve had enough of that, ladies and gentlemen. Weve run up more debt in the last eight years than under all the presidents from George Washington to Jimmy Carter combined. Its time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country.",Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
Jim Lehrer,"All right, the next question will be asked by Anne Groer and it will go the Vice President. You have two minutes to answer, sir.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Anne Groer,"Mr. Vice President, youve said you want a kinder, gentler presidency, one that helps the less fortunate. Today, 37 million Americans including many working families with aging parents and young children cannot afford any health insurance, but earn too much to qualify for Medicaid. What will you do to provide protection for them and how will you pay for it?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
George H. W. Bush,"One thing I will not do is sock every business in the country and, thus, throw some people out of work. I want to keep this economic recovery going. More Americans at work today than any time in history, a greater percentage of the work force. What I will do is permit people to buy into Medicaid. I believe thats the answer. I am proud to have been part of an administration that past the first catastrophic health bill. And in that there are some Medicaid provisions that will be very helpful to the very kind of people were talking about here. But weve got to keep going forward without killing off the engine and throwing people out of work. So, the answer lies, it seems to me, in full enforcement of the catastrophic program. It lies to me in flexibility in Medicaid so people at the lowest end can buy in there and get their needs covered and then it also – I do not want to see us mandate across the board that every company has to do this, because I really think that marginal operators are going to go say, “We cant make it. ” And I think then youre going to see that people are put out of work. All these programs – and this cost on his – is – was – I saw an estimate, Id love to know what he thinks, $35 – $40 billion – and it seems to me that somebody pays that. There isnt any such thing as something free out there. It either gets passed along as increased prices or it gets passed along by people being put out of work so the business can continue to compete. So, I think we ought to do it in the Medicaid system. I think we ought to do it by full enforcement of the catastrophic health insurance. I think we ought to do it by everybody doing what they can do out of conscience. Its a terrible problems in terms of flexibility on private insurance. But I just dont want to mandate it and risk putting this – setting the recovery back.",Pres,1988,1988-09-25,1,How can we address healthcare needs without jeopardizing the current economic recovery and employment levels?,"Mr. Vice President, youve said you want a kinder, gentler presidency, one that helps the less fortunate. Today, 37 million Americans including many working families with aging parents and young children cannot afford any health insurance, but earn too much to qualify for Medicaid. What will you do to provide protection for them and how will you pay for it?",0.8914853334,0.9270368814,0.8200700283,0.5119513869,Republican,What will you do to provide health insurance protection for the 37 million Americans who cannot afford it?,3.0,3.0,1.0
Jim Lehrer,"A rebuttal, Governor?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,"But, George, thats no answer.",Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
George H. W. Bush,"You dont like the answer, but its an answer.",Pres,1988,1988-09-25,1,,,,,,,Republican,,,,1.0
Michael Dukakis,"Well, no, its no answer to those 37 million people, most of them members of working families who dont have a dime of health insurance and dont know how to pay the bills if their kids get sick at night. I was in Houston on Tuesday meeting with a group of good citizens, working citizens. All of them with little or no health insurance. One of them was a father who had been laid off a few months ago and lost his health insurance. Has an 11 year old son and cant let that son compete in sports and Little League, because hes afraid hes going to get hurt and he wont be able to provide health insurance to pay those bills. My state just became the only state in the nation to provide for universal health care and we did it with the support of the business community and labor and the health care community and with virtually everybody in the state. The fact of the matter is that employers who today are insuring their employees are paying the freight, because theyre paying for those who arent. And I think its time that when you got a job in this country it came with health insurance. Thats the way were going to provide basic health security for all of the citizens of this country of ours.",Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
Jim Lehrer,"Follow- up, Anne?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Anne Groer,"Yes. Since your Massachusetts health plan has been attacked by the Vice President and you have defended it in this way, I would like to move on to perhaps one of the most costly medical catastrophes facing Americans today and that is AIDS. In – at the end of September, the thousands of AIDS patients will lose their access to AZT, which is the only Federally approved drug for treatment of the disease. Now, Id like to now, sir, if – what your position is on extending that and what it is you think the government ought to be doing about making AZT and other drugs available to people who are suffering from this disease.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,"Well, Anne, let me just say before I answer your question that I didnt know that the Vice President attacked our program in Massachusetts. I hope he hasnt. Because has won the support of a great many people all over the state and I think its a model for what I hope we can do across the country. But when I proposed my plan this past Tuesday, he or one of his spokesmen called it socialized medicine. The last time the Vice President used that phrase, I suspect he remembers it, dont you? It was in 1964 and thats what he called Medicare. Well, he was wrong then and hes wrong now. (Applause)",Pres,1988,1988-09-25,1,What is the response to the Vice President's criticism of the healthcare program in Massachusetts?,"Yes. Since your Massachusetts health plan has been attacked by the Vice President and you have defended it in this way, I would like to move on to perhaps one of the most costly medical catastrophes facing Americans today and that is AIDS. In – at the end of September, the thousands of AIDS patients will lose their access to AZT, which is the only Federally approved drug for treatment of the disease. Now, Id like to now, sir, if – what your position is on extending that and what it is you think the government ought to be doing about making AZT and other drugs available to people who are suffering from this disease.",0.9214202166,0.921843648,0.7958189249,0.2471770346,Democratic,What is your position on extending access to AZT and making it available to people suffering from AIDS?,3.0,1.0,0.0
Jim Lehrer,"If I may interrupt at this point and caution the audience as I did before we went on the air, please hold it down. Youre only taking time away from your candidate when you do that. Governor, continue, please.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,"Let me say this about AIDS. Its the single most important public health crisis, single most important public health emergency weve had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS. I think we have to demonstrate some flexibility and I think the FDA is attempting to do so now in trying to make it possible for new and experimental drugs to be available to people who are at risk at AIDS and I would hope that we could bring that kind of a policy to bear beginning in January. And I would encourage the current administration to proceed with that kind of flexibility where its appropriate and where its done carefully and responsibly. But we have not had the kind of leadership we should have had. In this particular area, I think the Vice President and I are in general agreement on what we have to do. The special Federal commission made good solid recommendations. I think were both supportive of them and I would strongly lead in that area as I have in my state as Governor.",Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
Jim Lehrer,"Mr. Vice President, a minute of rebuttal.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
George H. W. Bush,"Well, were on the right track. The NIH is doing a good job in research. The Surgeon General is doing a good job in encouraging the proper kind of education. I notice that the Governor did not mention any testing. But we got to have a knowledge base. Testing should be confidential, but we have to have a knowledge. We cant simply stick our heads in the sands in terms of testing. Im Chairman of the Presidents Task Force on Regulatory Relief and we are working with the FDA and they have sped up bringing drugs to market that can help. And you got to be careful here, because theres a safety factor, but I think these things – and then also I am one who believes weve got to go the extra mile in clean – being sure that that blood supply is pure. We cannot have a lack of confidence in the blood supply when it comes to operations and surgery and things of this nature. So, research, speeding the drugs to market, testing, blood supply are very important elements of this.",Pres,1988,1988-09-25,1,,,,,,,Republican,,,,1.0
Jim Lehrer,Next question will be asked by Peter Jennings. It goes to the Governor.,Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Peter Jennings,"Good evening, Mr. Vice President, Governor. Governor, one theme that keeps coming up about the way you govern – youve both mentioned leadership tonight, so Id like to stay with that for a second. The theme that keeps coming up about the way you govern is passionless, technocratic –",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,Passionless?,Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
Peter Jennings,"Passionless, technocratic, the smartest clerk in the world. Your critics maintain that in the 1960s your public passion was not the war in Vietnam or civil rights, but no fault auto insurance. And they say in the 1970s you played virtually no role in the painful busing crisis in Boston. Given the fact that a president must sometimes lead by sheer inspiration and passion. We need to know if this is a fair portrait of your governing or if it is a stereotype. And if it isnt fair, give us an example of where you have had that passion and leadership that sometimes a president needs?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Jim Lehrer,"Mr. Vice President, a rebuttal.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
George H. W. Bush,"Well, I dont question his passion. I question – and I dont question his concern about the war in Vietnam. He introduced or supported legislation back then that suggested that kids of Massachusetts should be exempt from going overseas in that war. Now, thats a certain passion that in my view its misguided passion. He – we have a big difference on issues. You see, last year in the primary, he expressed his passion. He said, “I am a strong liberal Democrat” – August, 87. Then he said, “I am a card- carrying member of the ACLU. ” That was what he said. He is out there on out of the mainstream. He is very passionate. My argument with the governor is, do we want this country to go that far left. And I wish we had time to let me explain. But I salute him for his passion. We just have a big difference on where this country should be led, and in what direction it ought to go. (Applause)",Pres,1988,1988-09-25,1,,,,,,,Republican,,,,1.0
Jim Lehrer,"Peter, a question? Question for the vice president, Peter.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Peter Jennings,"Id actually like to follow up if I may on this mention youve made of his card carrying membership in the American Civil Liberties Union. Youve used the phrase “card carrying” so many times since Governor Dukakis first acknowledged that he was a card carrying member of the ACLU that some people have come to believe that youve used it to brand him in some way, to identify him as people were identified in the 1950s as less than patriotic. Id like to know why you keep repeating the phrase, and whats the important issue here? What is so wrong with the governor being a member of an organization which has come to the defense of, among other people, Colonel Oliver North?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
George H. W. Bush,"Nothings wrong with it. But just take a look at the positions of the ACLU. But, Peter, please understand, the liberals do not like me talking about liberal They dont like it when I say that he says hes a card carrying member. Now, if that quote was wrong, he can repudiate it, right here. Ive seen it authoritatively written twice, and if Ive done him an injustice, and he didnt say it, Im very, very sorry. But I dont agree with a lot of – most of the positions of the ACLU. I simply dont want to see the ratings on movies. I dont want my ten year old grandchild to go into an X- rated movie. I like those ratings systems. I dont think theyre right to try to take the tax exemption away from the Catholic Church. I dont want to see the kiddie pornographic laws repealed; I dont want to see “under God” come out from our currency. Now, these are all positions of the ACLU. And I dont agree with them. He has every right to exercise his passion, as what he said, a strong, progressive liberal. I dont agree with that. I come from a different point. And I think Im more in touch with the mainstream of America. They raised the same thing with me on the Pledge of Allegiance. You see, Id have found a way to sign that bill. Governor Thompson of Illinois did. Im not questioning his patriotism. He goes out and says the man is questioning my patriotism. And then all the liberal columnists join in. I am not. I am questioning his judgment on these matters, or where hes coming from He has every right to do it. But I believe thats not what the American people want, and when he said, when he said at the convention, ideology doesnt matter, just competence, he was moving away from his own record, from what his passion has been over the years. And thats all Im trying to do, is put it in focus. And I hope people dont think that Im questioning his patriotism when I say he used his words to describe his participation in that organization.",Pres,1988,1988-09-25,1,What are the key issues where the speaker disagrees with the positions of the ACLU and the other individual's liberal views?,"Id actually like to follow up if I may on this mention youve made of his card carrying membership in the American Civil Liberties Union. Youve used the phrase “card carrying” so many times since Governor Dukakis first acknowledged that he was a card carrying member of the ACLU that some people have come to believe that youve used it to brand him in some way, to identify him as people were identified in the 1950s as less than patriotic. Id like to know why you keep repeating the phrase, and whats the important issue here? What is so wrong with the governor being a member of an organization which has come to the defense of, among other people, Colonel Oliver North?",0.8827044368,0.934019208,0.7883558273,0.400654614,Republican,"Why do you keep repeating the phrase ""card carrying"" in relation to Governor Dukakis's membership in the ACLU, and what is so wrong with him being a member of that organization?",3.0,3.0,1.0
Jim Lehrer,"Governor, a response.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,"Well, I hope this is the first and last time I have to say this. Of course, the vice president is questioning my patriotism. I dont think theres any question about that, and I resent it. I resent it. My parents came to this country as immigrants. They taught me that this was the greatest country in the world. Im in public service because I love this country. I believe in it. And nobodys going to question my patriotism as the vice president has now repeatedly. The fact of the matter is if the Pledge of Allegiance was the acid test of ones patriotism– the vice presidents been the presiding officer in the United States Senate for the past seven and a half years. To the best of my knowledge hes never once suggested that a session of the Senate begin with the Pledge of Allegiance. (Applause)",Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
Michael Dukakis,"Mr. Bush, I dont question your patriotism. When youre attacked for your military record, I immediately said it was inappropriate, it had no place in this campaign, and I rejected it. I would hope that from this point on, we get to the issues that affect the vast majority of Americans, jobs, schools, health care, housing, the environment. Those are the concerns of the people that are watching us tonight. Not labels that we attach to each other, questions about each others patriotism and loyalty.",Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
Jim Lehrer,"The time is up, governor. Lets go now to John Mashek, again. A question for the vice president.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
John Mashek,"Mr. Vice President, in a debate during the Republican primaries, you said most of the nations homeless are suffering from mental illness, an assertion immediately challenged by one of your rivals. Estimates of the homeless range from a low of 250, 000 by the government, to around three million, including working families and their children. What commitment are you willing to make tonight to this voiceless segment of our society?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
