speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean
Jim Lehrer,… youre going to vote for the plan?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Sure. But — but let me — let me point out, I also warned about Fannie Mae and Freddie Mac and warned about corporate greed and excess, and CEO pay, and all that. A lot of us saw this train wreck coming. But theres also the issue of responsibility. Youve mentioned President Dwight David Eisenhower. President Eisenhower, on the night before the Normandy invasion, went into his room, and he wrote out two letters. One of them was a letter congratulating the great members of the military and allies that had conducted and succeeded in the greatest invasion in history, still to this day, and forever. And he wrote out another letter, and that was a letter of resignation from the United States Army for the failure of the landings at Normandy. Somehow weve lost that accountability. Ive been heavily criticized because I called for the resignation of the chairman of the Securities and Exchange Commission. Weve got to start also holding people accountable, and weve got to reward people who succeed. But somehow in Washington today — and Im afraid on Wall Street — greed is rewarded, excess is rewarded, and corruption — or certainly failure to carry out our responsibility is rewarded. As president of the United States, people are going to be held accountable in my administration. And I promise you that that will happen.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"Do you have something directly to say, Senator Obama, to Senator McCain about what he just said?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Well, I think Senator McCains absolutely right that we need more responsibility, but we need it not just when theres a crisis. I mean, weve had years in which the reigning economic ideology has been whats good for Wall Street, but not whats good for Main Street. And there are folks out there whove been struggling before this crisis took place. And thats why its so important, as we solve this short- term problem, that we look at some of the underlying issues that have led to wages and incomes for ordinary Americans to go down, the — a health care system that is broken, energy policies that are not working, because, you know, 10 days ago, John said that the fundamentals of the economy are sound.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,Say it directly to him.,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,I do not think that they are.,Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,Say it directly to him.,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Well, the — John, 10 days ago, you said that the fundamentals of the economy are sound. And…",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,Are you afraid I couldnt hear him? (LAUGHTER),Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,Im just determined to get you all to talk to each other. Im going to try.,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"The — and I just fundamentally disagree. And unless we are holding ourselves accountable day in, day out, not just when theres a crisis for folks who have power and influence and can hire lobbyists, but for the nurse, the teacher, the police officer, who, frankly, at the end of each month, theyve got a little financial crisis going on. Theyre having to take out extra debt just to make their mortgage payments. We havent been paying attention to them. And if you look at our tax policies, its a classic example.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,"So, Senator McCain, do you agree with what Senator Obama just said? And, if you dont, tell him what you disagree with.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"No, I — look, weve got to fix the system. Weve got fundamental problems in the system. And Main Street is paying a penalty for the excesses and greed in Washington, D. C. , and in the Wall Street. So theres no doubt that we have a long way to go. And, obviously, stricter interpretation and consolidation of the various regulatory agencies that werent doing their job, that has brought on this crisis. But I have a fundamental belief in the goodness and strength of the American worker. And the American worker is the most productive, the most innovative. America is still the greatest producer, exporter and importer. But weve got to get through these times, but I have a fundamental belief in the United States of America. And I still believe, under the right leadership, our best days are ahead of us.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"All right, lets go to the next lead question, which is essentially following up on this same subject. And you get two minutes to begin with, Senator McCain. And using your word “fundamental, ” are there fundamental differences between your approach and Senator Obamas approach to what you would do as president to lead this country out of the financial crisis?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Well, the first thing we have to do is get spending under control in Washington. Its completely out of control. Its gone — we have now presided over the largest increase in the size of government since the Great Society. We Republicans came to power to change government, and government changed us. And the — the worst symptom on this disease is what my friend, Tom Coburn, calls earmarking as a gateway drug, because its a gateway. Its a gateway to out- of- control spending and corruption. And we have former members of Congress now residing in federal prison because of the evils of this earmarking and pork- barrel spending. You know, we spent $3 million to study the DNA of bears in Montana. I dont know if that was a criminal issue or a paternal issue, but the fact is that it was $3 million of our taxpayers money. And it has got to be brought under control. As president of the United States, I want to assure you, Ive got a pen. This ones kind of old. Ive got a pen, and Im going to veto every single spending bill that comes across my desk. I will make them famous. You will know their names. Now, Senator Obama, you wanted to know one of the differences. He has asked for $932 million of earmark pork- barrel spending, nearly a million dollars for every day that hes been in the United States Senate. I suggest that people go up on the Web site of Citizens Against Government Waste, and theyll look at those projects. That kind of thing is not the way to rein in runaway spending in Washington, D. C. Thats one of the fundamental differences that Senator Obama and I have.",Pres,2008,2008-09-26,1,What strategies will be implemented to control government spending and address earmarking in Washington?,"All right, lets go to the next lead question, which is essentially following up on this same subject. And you get two minutes to begin with, Senator McCain. And using your word “fundamental, ” are there fundamental differences between your approach and Senator Obamas approach to what you would do as president to lead this country out of the financial crisis?",0.9356116652488708,0.930648684501648,0.8438217043876648,0.75412517786026,Republican,How do you plan to bring spending under control in Washington?
Jim Lehrer,"Senator Obama, two minutes.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Well, Senator McCain is absolutely right that the earmarks process has been abused, which is why I suspended any requests for my home state, whether it was for senior centers or what have you, until we cleaned it up. And hes also right that oftentimes lobbyists and special interests are the ones that are introducing these kinds of requests, although that wasnt the case with me. But lets be clear; Earmarks account for $18 billion in last years budget. Senator McCain is proposing — and this is a fundamental difference between us — $300 billion in tax cuts to some of the wealthiest corporations and individuals in the country, $300 billion. Now, $18 billion is important; $300 billion is really important. And in his tax plan, you would have CEOs of Fortune 500 companies getting an average of $700, 000 in reduced taxes, while leaving 100 million Americans out. So my attitude is, weve got to grow the economy from the bottom up. What Ive called for is a tax cut for 95 percent of working families, 95 percent. And that means that the ordinary American out there whos collecting a paycheck every day, theyve got a little extra money to be able to buy a computer for their kid, to fill up on this gas that is killing them. And over time, that, I think, is going to be a better recipe for economic growth than the — the policies of President Bush that John McCain wants to — wants to follow.",Pres,2008,2008-09-26,1,How do the proposed tax cuts and their distribution differ between Senator McCain's plan and the speaker's plan?,"All right, lets go to the next lead question, which is essentially following up on this same subject. And you get two minutes to begin with, Senator McCain. And using your word “fundamental, ” are there fundamental differences between your approach and Senator Obamas approach to what you would do as president to lead this country out of the financial crisis?",0.9145104885101318,0.9528688192367554,0.8963602781295776,0.8138696551322937,Democratic,What is your plan for tax cuts for working families compared to Senator McCain's tax plan?
Jim Lehrer,Senator McCain?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Well, again, I dont mean to go back and forth, but he… (CROSSTALK)",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"No, thats fine.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Senator Obama suspended those requests for pork- barrel projects after he was running for president of the United States. He didnt happen to see that light during the first three years as a member of the United States Senate, $932 million in requests. Maybe to Senator Obama its not a lot of money. But the point is that — you see, I hear this all the time. “Its only $18 billion. ” Do you know that its tripled in the last five years? Do you know that its gone completely out of control to the point where it corrupts people? It corrupts people. Thats why we have, as I said, people under federal indictment and charges. Its a system thats got to be cleaned up. I have fought against it my career. I have fought against it. I was called the sheriff, by the — one of the senior members of the Appropriations Committee. I didnt win Miss Congeniality in the United States Senate. Now, Senator Obama didnt mention that, along with his tax cuts, he is also proposing some $800 billion in new spending on new programs. Now, thats a fundamental difference between myself and Senator Obama. I want to cut spending. I want to keep taxes low. The worst thing we could do in this economic climate is to raise peoples taxes.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"I — I dont know where John is getting his figures. Lets just be clear. What I do is I close corporate loopholes, stop providing tax cuts to corporations that are shipping jobs overseas so that were giving tax breaks to companies that are investing here in the United States. I make sure that we have a health care system that allows for everyone to have basic coverage. I think those are pretty important priorities. And I pay for every dime of it. But lets go back to the original point. John, nobody is denying that $18 billion is important. And, absolutely, we need earmark reform. And when Im president, I will go line by line to make sure that we are not spending money unwisely. But the fact is that eliminating earmarks alone is not a recipe for how were going to get the middle class back on track.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Barack Obama,"And when you look at your tax policies that are directed primarily at those who are doing well, and you are neglecting people who are really struggling right now, I think that is a continuation of the last eight years, and we cant afford another four.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,"Respond directly to him about that, to Senator Obama about that, about the — hes made it twice now, about your tax — your policies about tax cuts.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Well — well, let me give you an example of what Senator Obama finds objectionable, the business tax. Right now, in the United States of America, business pays the second- highest business taxes in the world, 35 percent. Ireland pays 11 percent. Now, if youre a business person, and you can locate any place in the world, then, obviously, if you go to the country where its 11 percent tax versus 35 percent, youre going to be able to create jobs, increase your business, make more investment, et cetera. I want to cut that business tax. I want to cut it so that businesses will remain in — in the United States of America and create jobs. But, again, I want to return. Its a lot more than $18 billion in pork- barrel spending. I can tell you, its rife. Its throughout. The United States Senate will take up a continuing resolution tomorrow or the next day, sometime next week, with 2, 000 — 2, 000 — look at them, my friends. Look at them. Youll be appalled. And Senator Obama is a recent convert, after requesting $932 million worth of pork- barrel spending projects. So the point is, I want people to have tax cuts. I want every family to have a $5, 000 refundable tax credit so they can go out and purchase their own health care. I want to double the dividend from $3, 500 to $7, 000 for every dependent child in America. I know that the worst thing we could possibly do is to raise taxes on anybody, and a lot of people might be interested in Senator Obamas definition of “rich. ”",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"Senator Obama, you have a question for Senator McCain on that?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Well, let me just make a couple of points.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,All right.,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"My definition — heres what I can tell the American people; 95 percent of you will get a tax cut. And if you make less than $250, 000, less than a quarter- million dollars a year, then you will not see one dimes worth of tax increase. Now, John mentioned the fact that business taxes on paper are high in this country, and hes absolutely right. Heres the problem; There are so many loopholes that have been written into the tax code, oftentimes with support of Senator McCain, that we actually see our businesses pay effectively one of the lowest tax rates in the world. And what that means, then, is that there are people out there who are working every day, who are not getting a tax cut, and you want to give them more. Its not like you want to close the loopholes. You just want to add an additional tax cut over the loopholes. And thats a problem. Just one last point I want to make, since Senator McCain talked about providing a $5, 000 health credit. Now, what he doesnt tell you is that he intends to, for the first time in history, tax health benefits. So you may end up getting a $5, 000 tax credit. Heres the only problem; Your employer now has to pay taxes on the health care that youre getting from your employer. And if you end up losing your health care from your employer, youve got to go out on the open market and try to buy it. It is not a good deal for the American people. But its an example of this notion that the market can always solve everything and that the less regulation we have, the better off were going to be.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"Well, you know, let me just…",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,Weve got to go to another lead question.,Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"I know we have to, but this is a classic example of walking the walk and talking the talk. We had an energy bill before the United States Senate. It was festooned with Christmas tree ornaments. It had all kinds of breaks for the oil companies, I mean, billions of dollars worth. I voted against it; Senator Obama voted for it.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"John, you want to give oil companies another $4 billion.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"Youve got to look at our record. Youve got to look at our records. Thats the important thing. Who fought against wasteful and earmark spending? Who has been the person who has tried to keep spending under control? Whos the person who has believed that the best thing for America is — is to have a tax system that is fundamentally fair? And Ive fought to simplify it, and I have proposals to simplify it. Lets give every American a choice; two tax brackets, generous dividends, and, two — and let Americans choose whether they want the — the existing tax code or they want a new tax code. And so, again, look at the record, particularly the energy bill. But, again, Senator Obama has shifted on a number of occasions. He has voted in the United States Senate to increase taxes on people who make as low as $42, 000 a year.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"Thats not true, John. Thats not true.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"And thats just a fact. Again, you can look it up.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"Look, its just not true. And if we want to talk about oil company profits, under your tax plan, John — this is undeniable — oil companies would get an additional $4 billion in tax breaks. Now, look, we all would love to lower taxes on everybody. But heres the problem; If we are giving them to oil companies, then that means that there are those who are not going to be getting them. And…",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"With all due respect, you already gave them to the oil companies.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"No, but, John, the fact of the matter is, is that I was opposed to those tax breaks, tried to strip them out. Weve got an energy bill on the Senate floor right now that contains some good stuff, some stuff you want, including drilling off- shore, but youre opposed to it because it would strip away those tax breaks that have gone to oil companies.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,"All right. All right, speaking of things that both of you want, another lead question, and it has to do with the rescue — the financial rescue thing that we started — started asking about. And what — and the first answer is to you, Senator Obama. As president, as a result of whatever financial rescue plan comes about and the billion, $700 billion, whatever it is its going to cost, what are you going to have to give up, in terms of the priorities that you would bring as president of the United States, as a result of having to pay for the financial rescue plan?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Well, there are a range of things that are probably going to have to be delayed. We dont yet know what our tax revenues are going to be. The economy is slowing down, so its hard to anticipate right now what the budget is going to look like next year. But theres no doubt that were not going to be able to do everything that I think needs to be done. There are some things that I think have to be done. We have to have energy independence, so Ive put forward a plan to make sure that, in 10 years time, we have freed ourselves from dependence on Middle Eastern oil by increasing production at home, but most importantly by starting to invest in alternative energy, solar, wind, biodiesel, making sure that were developing the fuel- efficient cars of the future right here in the United States, in Ohio and Michigan, instead of Japan and South Korea. We have to fix our health care system, which is putting an enormous burden on families. Just — a report just came out that the average deductible went up 30 percent on American families. They are getting crushed, and many of them are going bankrupt as a consequence of health care. Im meeting folks all over the country. We have to do that now, because it will actually make our businesses and our families better off. The third thing we have to do is weve got to make sure that were competing in education. Weve got to invest in science and technology. China had a space launch and a space walk. Weve got to make sure that our children are keeping pace in math and in science. And one of the things I think we have to do is make sure that college is affordable for every young person in America. And I also think that were going to have to rebuild our infrastructure, which is falling behind, our roads, our bridges, but also broadband lines that reach into rural communities. Also, making sure that we have a new electricity grid to get the alternative energy to population centers that are using them. So there are some — some things that weve got to do structurally to make sure that we can compete in this global economy. We cant shortchange those things. Weve got to eliminate programs that dont work, and weve got to make sure that the programs that we do have are more efficient and cost less.",Pres,2008,2008-09-26,1,What are the key priorities for the government to ensure economic competitiveness and address critical issues facing American families?,"All right. All right, speaking of things that both of you want, another lead question, and it has to do with the rescue — the financial rescue thing that we started — started asking about. And what — and the first answer is to you, Senator Obama. As president, as a result of whatever financial rescue plan comes about and the billion, $700 billion, whatever it is its going to cost, what are you going to have to give up, in terms of the priorities that you would bring as president of the United States, as a result of having to pay for the financial rescue plan?",0.9662917852401733,0.9398000240325928,0.8747686147689819,0.5062408447265625,Democratic,What are the key structural changes needed to compete in the global economy?
Jim Lehrer,"Are you — what priorities would you adjust, as president, Senator McCain, because of the — because of the financial bailout cost?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Look, we, no matter what, weve got to cut spending. We have — as I said, weve let government get completely out of control. Senator Obama has the most liberal voting record in the United States Senate. Its hard to reach across the aisle from that far to the left. The point — the point is — the point is, we need to examine every agency of government. First of all, by the way, Id eliminate ethanol subsidies. I oppose ethanol subsidies. I think that we have to return — particularly in defense spending, which is the largest part of our appropriations — we have to do away with cost- plus contracts. We now have defense systems that the costs are completely out of control. We tried to build a little ship called the Littoral Combat Ship that was supposed to cost $140 million, ended up costing $400 million, and we still havent done it. So we need to have fixed- cost contracts. We need very badly to understand that defense spending is very important and vital, particularly in the new challenges we face in the world, but we have to get a lot of the cost overruns under control. I know how to do that.",Pres,2008,2008-09-26,1,What steps should be taken to cut government spending and control cost overruns in defense contracts?,"Are you — what priorities would you adjust, as president, Senator McCain, because of the — because of the financial bailout cost?",0.9395740628242493,0.9493671655654907,0.9175618290901184,0.8642256259918213,Republican,How do you propose to cut spending and control defense cost overruns?
John McCain,"I saved the taxpayers $6. 8 billion by fighting a contract that was negotiated between Boeing and DOD that was completely wrong. And we fixed it and we killed it and the people ended up in federal prison so I know how to do this because Ive been involved these issues for many, many years. But I think that we have to examine every agency of government and find out those that are doing their job and keep them and find out those that arent and eliminate them and well have to scrub every agency of government.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,But if I hear the two of you correctly neither one of you is suggesting any major changes in what you want to do as president as a result of the financial bailout? Is that what youre saying?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"No. As I said before, Jim, there are going to be things that end up having to be …",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,Like what?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"… deferred and delayed. Well, look, I want to make sure that we are investing in energy in order to free ourselves from the dependence on foreign oil. That is a big project. That is a multi- year project.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,Not willing to give that up?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Not willing to give up the need to do it but there may be individual components that we cant do. But John is right we have to make cuts. We right now give $15 billion every year as subsidies to private insurers under the Medicare system. Doesnt work any better through the private insurers. They just skim off $15 billion. That was a give away and part of the reason is because lobbyists are able to shape how Medicare works. They did it on the Medicaid prescription drug bill and we have to change the culture. Tom — or John mentioned me being wildly liberal. Mostly thats just me opposing George Bushs wrong headed policies since Ive been in Congress but I think it is that it is also important to recognize I worked with Tom Coburn, the most conservative, one of the most conservative Republicans who John already mentioned to set up what we call a Google for government saying well list every dollar of federal spending to make sure that the taxpayer can take a look and see who, in fact, is promoting some of these spending projects that Johns been railing about.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,"What Im trying to get at this is this. Excuse me if I may, senator. Trying to get at that you all — one of you is going to be the president of the United States come January. At the — in the middle of a huge financial crisis that is yet to be resolved. And what Im trying to get at is how this is going to affect you not in very specific — small ways but in major ways and the approach to take as to the presidency.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"How about a spending freeze on everything but defense, veteran affairs and entitlement programs.",Pres,2008,2008-09-26,1,"What is the proposed approach to managing government spending while prioritizing defense, veteran affairs, and entitlement programs?","What Im trying to get at this is this. Excuse me if I may, senator. Trying to get at that you all — one of you is going to be the president of the United States come January. At the — in the middle of a huge financial crisis that is yet to be resolved. And what Im trying to get at is how this is going to affect you not in very specific — small ways but in major ways and the approach to take as to the presidency.",0.8840241432189941,0.9538835287094116,0.8864103555679321,0.6589260101318359,Republican,"How about a spending freeze on everything but defense, veteran affairs, and entitlement programs?"
Jim Lehrer,Spending freeze?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,I think we ought to seriously consider with the exceptions of caring for our veterans national defense and several other vital issues.,Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,Would you go for that?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"The problem with a spending freeze is youre using a hatchet where you need a scalpel. There are some programs that are very important that are under funded. I went to increase early childhood education and the notion that we should freeze that when there may be, for example, this Medicare subsidy, I think, doesnt make sense. Let me tell you another place to look for some savings. We are currently spending $10 billion a month in Iraq when they have a $79 billion surplus. It seems to me that if were going to be strong at home as well as strong abroad, that we have to look at bringing that war to a close.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"Look, we are sending $700 billion a year overseas to countries that dont like us very much. Some of that money ends up in the hands of terrorist organizations. We have to have wind, tide, solar, natural gas, flex fuel cars and all that but we also have to have offshore drilling and we also have to have nuclear power. Senator Obama opposes both storing and reprocessing of spent nuclear fuel. You cant get there from here and the fact is that we can create 700, 000 jobs by building constructing 45 new nuclear power plants by the year 2030. Nuclear power is not only important as far as eliminating our dependence on foreign oil but its also responsibility as far as climate change is concerned. An issue I have been involved in for many, many years and Im proud of the work of the work that Ive done there along with Senator Clinton.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"Before we go to another lead question. Let me figure out a way to ask the same question in a slightly different way here. Are you — are you willing to acknowledge both of you that this financial crisis is going to affect the way you rule the country as president of the United States beyond the kinds of things that you have already — I mean, is it a major move? Is it going to have a major affect?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
