speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean,qud_answer_fit,qud_question_fit
George W. Bush,"Yes. I take him for his word. Look, I fully recognize Im not of Washington. Im from Texas. And hes got a lot of experience, but so do I. And Ive been the chief executive officer of the second biggest state in the union. I have a proud record of working with both Republicans and Democrats, which is what our nation needs. Somebody that can come to Washington and say lets forget all the finger pointing and get positive things done on Medicare, prescription drugs, Social Security, and so I take him for his word.",Pres,2000,2000-10-03,1,Why should voters trust your ability to work across party lines and effectively address issues like Medicare and Social Security?,"Let me just follow up one quick question. When you hear Vice President Gore question your experience, do you read it the same way, that hes talking about policy differences only?",0.9126672745,0.9226072431,0.7760260701,0.2992918491,Republican,Do you consider Vice President Gore's questioning of your experience to be focused only on policy differences?,2,
Al Gore,"Jim, if I could just respond. I know that. The governor used the phrase phony numbers, but if you look at the plan and add the numbers up, these numbers are correct. He spends more money for tax cuts for the wealthiest 1% than all of his new spending proposals for health care, prescription drugs, education and national defense all combined. I agree that the surplus is the American peoples money, its your money. Thats why I dont think we should give nearly half of it to the wealthiest 1%, because the other 99% have had an awful lot to do with building the surplus in our prosperity.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,Three- and- a- half minutes is up. New question.,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,I hope itâ€™s about wealthy people.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"Governor Bush, you have a question. This is a companion question to the question I asked Vice President Gore. You have questioned whether Vice President Gore has demonstrated the leadership qualities necessary to be President of the United States. What do you mean by that?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"Actually what Ive said, Jim. Ive said that eight years ago they campaigned on prescription drugs for seniors. And four years ago they campaigned on getting prescription drugs for seniors. And now theyre campaigning on getting prescription drugs for seniors. It seems like they cant get it done. Now, they may blame other folks, but its time to get somebody in Washington who is going to work with both Republicans and Democrats to get some positive things done when it comes to our seniors. And so what Ive said is that theres been some missed opportunities. Theyve had a chance. Theyve had a chance to form consensus. Ive got a plan on Medicare, for example, thats a two- stage plan that says well have immediate help for seniors and what I call immediate Helping Hand, a $48 billion program. But I also want to say to seniors, if youre happy with Medicare the way it is, fine, you can stay in the program. But were going to give you additional choices like they give federal employees in the federal employee health plan. They have a variety of choices to choose, so should seniors. And my point has been, as opposed to politicizing an issue like Medicare, in other words, holding it up as an issue, hoping somebody bites it and try to clobber them over the head with it for political purposes, this year, in the year 2000, its time to get it done once and for all. Thats what Ive been critical about the administration for. Same with Social Security. I think there was a good opportunity to bring Republicans and Democrats together to reform the Social Security system so seniors will never go without. Those on Social Security today will have their promise made, but also to give younger workers the option at their choice of being able to manage some of their own money in the private sector to make sure theres a Social Security system around tomorrow. There are a lot of young workers at our rallies we go to that when they hear Ill trust them at their option to be able to manage, under certain guidelines, some of their own money to get a better rate of return so that theyll have a retirement plan in the future, they begin to nod their heads and they want a different attitude in Washington.",Pres,2000,2000-10-03,1,What solutions can be implemented to address the challenges facing Medicare and Social Security for seniors?,"Governor Bush, you have a question. This is a companion question to the question I asked Vice President Gore. You have questioned whether Vice President Gore has demonstrated the leadership qualities necessary to be President of the United States. What do you mean by that?",0.8077303171,0.8979860544,0.6765418649,0.05461479351,Republican,What do you mean by questioning Vice President Gore's leadership qualities necessary to be President?,2,
Moderator,One minute rebuttal.,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Well, Jim, under my plan all seniors will get prescription drugs under Medicare. The governor has described Medicare as a government HMO. Its not, and let me explain the difference. Under the Medicare prescription drug proposal Im making, here is how it works, you go to your own doctor. Your doctor chooses your prescription. No HMO or insurance company can take those choices away from you. Then you go to your own pharmacy. You fill the prescription and Medicare pays half the cost. If youre in a very poor family or if you have very high costs, Medicare will pay all the costs, a $25 premium, and much better benefits than you can possibly find in the private sector. Now here is the contrast. 95% of all seniors would get no help whatsoever under my opponents plan for the first four or five years. Now, one thing I dont understand, Jim, is why is it that the wealthiest 1% get their tax cuts the first year, but 95% of seniors have to wait four to five years before they get a single penny?",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,"I guess my answer to that is the man is running on Medi- scare. Trying to frighten people in the voting booth. Its just not the way I think and its not my intentions and not my plan. I want all seniors to have prescription drugs in Medicare. We need to reform Medicare. Thereâ€™s been opportunity to do so but this administration has failed to do it. And so seniors will have not only a Medicare plan where the poor seniors will have prescription drugs paid for, but there will be a variety of options. The current system today has meant a lot for a lot of seniors, and I really appreciate the intentions of the current system as I mentioned. If youre happy with the system you can stay in it. But there are a lot of procedures that havent kept up in Medicare with the current times. No prescription drug benefits, no drug therapy, no preventative medicines, no vision care. We need to have a modern system to help seniors, and the idea of supporting a federally controlled 132, 000- page document bureaucracy as being a compassionate way for seniors, and the only compassionate source of care for seniors is not my vision. I believe we ought to give seniors more options. I believe we ought to make the system work better. I know this. I know it will require a different kind of leader to go to Washington to say to both Republicans and Democrats, lets come together. Youve had your chance, Vice President, youve been there for eight years and nothing has been done. My point is, is that my plan not only trusts seniors with options, my plan sets aside $3. 4 trillion for Medicare over the next ten years. My plan also says it requires a new approach in Washington, D. C. Its going to require somebody who can work across the partisan divide.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,"If I could respond to that. Under my plan I will put Medicare in an iron clad lockbox and prevent the money from being used for anything other than Medicare. The governor has declined to endorse that idea even though the Republican as well as Democratic leaders in Congress have endorsed it. I would be interested to see if he would say this evening hell put Medicare in a lockbox. I donâ€™t think he will because under his plan if you work out the numbers Â $100 billion comes out of Medicare just for the wealthiest 1% in the tax cut. Now here is the difference. Some people who say the word reform actually mean cuts. Under the governors plan, if you kept the same fee for service that you have now under Medicare, your premiums would go up by between 18% and 47%, and that is the study of the Congressional plan that hes modeled his proposal on by the Medicare actuaries. Let me give you one quick example. There is a man here tonight named George McKinney from Milwaukee. Hes 70 years old, has high blood pressure, his wife has heart trouble. They have an income of $25, 000 a year. They cant pay for their prescription drugs and so theyre some of the ones that go to Canada regularly in order to get their prescription drugs. Under my plan, half of their costs would be paid right away. Under Governor Bushs plan, they would get not one penny for four to five years and then they would be forced to go into an HMO or to an insurance company and ask them for coverage, but there would be no limit on the premiums or the deductibles or any of the terms and conditions.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,"I cannot let this go by, the old- style Washington politics, of were going to scare you in the voting booth. Under my plan the man gets immediate help with prescription drugs. Its called Immediate Helping Hand. Instead of squabbling and finger pointing, he gets immediate help. Let me say something.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,Your â€“[cross talk],Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Can I make another point? They get $25, 000 a year income, that makes them ineligible.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,"Look, this is a man who has great numbers. He talks about numbers. Im beginning to think not only did he invent the Internet, but he invented the calculator. Its fuzzy math. Its a scaring — hes trying to scare people in the voting booth. Under my tax plan that he continues to criticize, I set one- third. The federal government should take no more than a third of anybodys check. But I also dropped the bottom rate from 15% to 10%. Because by far the vast majority of the help goes to people at the bottom end of the economic ladder. If youre a family of four in Massachusetts, making $50, 000, you get a 50% cut in the federal income taxes you pay. Its from $4000 to about $2000. Now, the difference in our plans is I want that $2, 000 to go to you, and the vice president would like to be spending the $2, 000 on your behalf.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"One quick thing, gentlemen. These are your rules. Im doing my best. Were way over the three and a half minutes. I have no problems with it. Do you want to have a quick response? Were almost to five minutes on this.",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Its just clear you can go to the website and look. If you make more than $25, 000 a year you dont get a penny of help under the Bush prescription drug proposal for at least four to five years, and then youre pushed into a Medicare — into an HMO or insurance company plan, and theres no limit on the premiums or the deductibles or any of the conditions. And the insurance companies say it wont work and they wont offer these plans.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,"Let me ask you both this and well move on on the subject. As a practical matter, both of you want to bring prescription drugs to seniors, correct?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,Correct.,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,Correct.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,The difference is I want to bring it to 100% and he wants to bring it to 5%.,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,"Thats totally false for him to stand up here and say that. Let me make sure the seniors hear me loud and clear. They have had their chance to get something done. Im going to work with Democrats and Republicans to reform the system. All seniors will be covered, all poor seniors will have their prescription drugs paid for, and in the meantime, well have a plan to help poor seniors and in the meantime it could be one year or two years.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,Let me call your attention to the key word there. He said all poor seniors.,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,Wait a minute. All seniors are covered under prescription drugs in my plan.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,In the first year?,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,"If we can get it done in the first year, you bet. Yours is phased in in eight years.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,Its a two- phase plan. For the first four years — it takes a year to pass it and for the first four years only the poor are covered. Middle class seniors like George McKinney and his wife are not covered for four to five years.,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,"I have an idea. If you have any more to say about this, you can say it in your closing statements and well move on, okay? New question. Vice President Gore. How would you contrast your approach to preventing future oil price and supply problems like we have now to the approach of Governor Bush?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Excellent question. And here is the simple difference. My plan has not only a short- term component, but also a long- term component. And it focuses not only on increasing the supply, which I think we have to do, but also on working on the consumption side. Now, in the short- term we have to free ourselves from the domination of the big oil companies that have the ability to manipulate the price from OPEC when they want to raise the price. And in the long- term we have to give new incentives for the development of domestic resources like deep gas in the western Gulf, like stripper wells for oil, but also renewable sources of energy. And domestic sources that are cleaner and better. And Im proposing a plan that will give tax credits and tax incentives for the rapid development of new kinds of cars and trucks and buses and factories and boilers and furnaces that dont have as much pollution, that dont burn as much energy, and that help us get out on the cutting edge of the new technologies that will create millions of new jobs. Because, when we sell these new products here, well then be able to sell them overseas. There is a ravenous demand for them overseas. Now, another big difference is Governor Bush is proposing to open up some of our most precious environmental treasures, like the Arctic National Wildlife Refuge for the big oil companies to go in and start producing oil there. I think that is the wrong choice. It would only give us a few months worth of oil and the oil wouldnt start flowing for many years into the future. I dont think its a fair price to pay to destroy precious parts of Americas environment. We have to bet on the future and move beyond the current technologies to have a whole new generation of more efficient, cleaner, energy technology.",Pres,2000,2000-10-03,1,What distinguishes your energy plan from Governor Bush's approach to addressing oil dependence and environmental concerns?,Vice President Gore. How would you contrast your approach to preventing future oil price and supply problems like we have now to the approach of Governor Bush?,0.9611087441,0.9555155039,0.9264169335,0.7466765046,Democratic,How would you contrast your approach to preventing future oil price and supply problems to the approach of Governor Bush?,3,
George W. Bush,"Its an issue I know a lot about. I was a small oil person for a while in west Texas. This is an administration thats had no plan. And all of a sudden the results of having no plan have caught up with America. First and foremost we have to fully fund LIHEAP which is a way to help low income folks, particularly here in the east to pay for high fuel bills. Secondly, we need an active exploration program in America. The only way to become less dependent on foreign sources of crude oil is to explore at home. You bet I want to open up a small part of Alaska. When that field is online it will produce one million barrels a day. Today we import one million barrels from Saddam Hussein. I would rather that a million come from our own hemisphere, our own country as opposed to Saddam Hussein. I want to build more pipelines to move natural gas throughout this hemisphere. I want to develop the coal resources in America. Have clean coal technologies. Weâ€™ve got abundant supplies of energy here in America and weâ€™d better get after it, we better start exploring it or otherwise well be in deep trouble in the future because of our dependency upon foreign sources of crude.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"So if somebody is watching tonight and listening to what the two of you just said, is it fair to say, okay, the differences between Governor Bush and Vice President Gore are as follows. Youre for doing something on the consumption end and youre for doing something on the production end?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Let me clarify. Im for doing something both on the supply side and production side and on the consumption side. Let me say, that I found one thing in Governor Bushs answer that we certainly agree on, and thats the low income heating assistance program. I commend you for supporting that. I worked to get $400 million just a couple of weeks ago. And to establish a permanent home heating oil reserve here in the northeast. Now, as for the proposals that Ive worked for for renewables and conservation and efficiencies and new technologies. The fact is for the last few years in the Congress, weve faced a lot of opposition to them. Theyve only approved about 10% of the agenda Ive helped to send up there. I think we need to get serious about this energy crisis, both in the Congress and in the White House, and if you entrust me with the presidency, I will tackle this problem and focus on new technologies that will make us less dependent on big oil or foreign oil.",Pres,2000,2000-10-03,1,What strategies should be implemented to address the energy crisis and reduce dependence on foreign oil?,"So if somebody is watching tonight and listening to what the two of you just said, is it fair to say, okay, the differences between Governor Bush and Vice President Gore are as follows. Youre for doing something on the consumption end and youre for doing something on the production end?",0.8783319592,0.9064325094,0.7428790331,0.2141511142,Democratic,Are the differences between Governor Bush and Vice President Gore about consumption versus production?,2,
Moderator,How would you draw the difference?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"Well I would first say he should have been tackling it for the last seven years. Secondly the difference is we need to explore at home. And the vice president doesnt believe in exploration in Alaska. Theres a lot of shut- in gas that we need to be moving out of Alaska by pipeline. Theres an interesting issue up in the northwest as well. Do we remove dams that produce hydroelectric energy? Im against removing dams in the northwest. I donâ€™t know where the vice president stands but thatâ€™s a renewable energy source of energy. We need to keep that in line. I was in coal country in West Virginia yesterday. There is an abundant supply of coal in America. I know we can do a better job of clean coal technologies. Im going to ask the Congress for $2 billion to make sure we have the cleanest coal technologies in the world. My answer to you is in the short- term we need to get after it here in America. We need to explore our resources and we need to develop our reservoirs of domestic production. We also need to have a hemispheric energy policy where Canada, Mexico and the United States come together. I brought this up recently with Vincent Fox the newly elected president in Mexico, hes a man I know from Mexico. I talked to him about how best to expedite the exploration of natural gas in Mexico and transport it up to the United States so we become less dependent on foreign sources of crude oil. This is a major problem facing America. The administration did not deal with it. Its time for a new administration to deal with the energy problem.",Pres,2000,2000-10-03,1,What should the United States do to address its energy challenges and reduce dependence on foreign oil?,"So if somebody is watching tonight and listening to what the two of you just said, is it fair to say, okay, the differences between Governor Bush and Vice President Gore are as follows. Youre for doing something on the consumption end and youre for doing something on the production end?",0.8902370334,0.9157315493,0.7739757299,0.285104543,Republican,Are the differences between Governor Bush and Vice President Gore about doing something on the consumption end versus the production end?,3,
Al Gore,"If I may just briefly, Jim, note. I found a couple of other things we agree upon. We may not find that many this evening, so I wanted to emphasize. I strongly support new investments in clean coal technology. I made a proposal three months ago on this. And also domestic exploration yes, but not in the environmental treasures of our country. We dont have to do that. Thats the wrong choice. I know the oil companies have been itching to do that, but it is not the right thing for the future.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,No. Its the right thing for the consumers. Less dependency upon foreign sources of crude is good for consumers. And we can do so in an environmentally friendly way.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,Well can I have the last word on this?,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,"New question, new subject. Governor Bush. If elected president, would you try to overturn the FDAs approval last week of the abortion pill RU- 486?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"I dont think a president can do that. I was disappointed in the ruling because I think abortions ought to be more rare in America, and Im worried that that pill will create more abortions and cause more people to have abortions. This is a very important topic and its a very sensitive topic, because a lot of good people disagree on the issue. I think what the next president ought to do is to promote a culture of life in America. Life of the elderly and life of those living all across the country. Life of the unborn. As a matter of fact, I think a noble goal for this country is that every child, born or unborn, need to be protected by law and welcomed to life. I know we need to change a lot of minds before we get there in America. What I do believe is that we can find good, common ground on issues of parental consent or parental notification. I know we need to ban partial birth abortions. This is a place where my opponent and I have strong disagreement. I believe banning partial birth abortions would be a positive step to reducing the number of abortions in America. This is an issue that will require a new attitude. Weve been battling over abortion for a long period of time. Surely this nation can come together to promote the value of life. Surely we can fight off these laws that will encourage doctors to — to allow doctors to take the lives of our seniors. Surely we can work together to create a cultural life so some of these youngsters who feel like they can take a neighbors life with a gun will understand that thats not the way America is meant to be. Surely we can find common ground to reduce the number of abortions in America. As to the drug itself, I mentioned I was disappointed. I hope the FDA took its time to make sure that American women will be safe who use this drug.",Pres,2000,2000-10-03,1,What should the next president prioritize to promote a culture of life and reduce the number of abortions in America?,"New question, new subject. Governor Bush. If elected president, would you try to overturn the FDAs approval last week of the abortion pill RU- 486?",0.8693830371,0.9220774174,0.7691803575,0.3815613985,Republican,Would you try to overturn the FDA's approval of the abortion pill RU-486?,2,
Moderator,Vice President Gore?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Well, Jim, the FDA took 12 years, and I do support that decision. They determined it was medically safe for the women who use that drug. This is indeed a very important issue. First of all on the issue of partial birth or so- called late- term abortion, I would sign a law banning that procedure, provided that doctors have the ability to save a womans life or to act if her health is severely at risk. Thats not the main issue. The main issue is whether or not the Roe v. Wade decision is going to be overturned. I support a womans right to choose. My opponent does not. It is important because the next president is going to appoint three and maybe even four justices of the Supreme Court. And Governor Bush has declared to the anti- choice groups that he will appoint justices in the mold of Scalia and Clarence Thomas, who are known for being the most vigorous opponents of a womans right to choose. Here is the difference. He trusts the government to order a woman to do what it thinks she ought to do. I trust women to make the decisions that affect their lives, their destinies and their bodies. And I think a womans right to choose ought to be protected and defended.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,"Governor, well go to the Supreme Court question in a moment, but make sure I understand your position on RU- 486. If youre elected president, not through appointments to the FDA, you wont support legislation to overturn this?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,I dont think a president can unilaterally overturn it. The FDA has made its decision.,Pres,2000,2000-10-03,1,Can a president unilaterally overturn a decision made by the FDA?,"Governor, well go to the Supreme Court question in a moment, but make sure I understand your position on RU- 486. If youre elected president, not through appointments to the FDA, you wont support legislation to overturn this?",0.8857870698,0.9066436291,0.7457340956,0.4162860513,Republican,"If you're elected president, will you support legislation to overturn RU-486?",3,
Moderator,"That means you wouldnt, through appointments, to the FDA and ask them to —",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"I think once a decision has been made, its been made unless its proven to be unsafe to women.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,"Jim, the question you asked, if I heard you correctly, was would he support legislation to overturn it. And if I heard the statement day before yesterday, you said you would order — he said he would order his FDA appointee to review the decision. Now that sounds to me a little bit different. I just think that we ought to support the decision.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,I said I would make sure that women would be safe who used the drug.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,On the Supreme Court question. Should a voter assume — youre pro- life.,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,I am pro- life.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"Should a voter assume that all judicial appointments you make to the supreme court or any other court, federal court, will also be pro- life?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"The voters should assume I have no litmus test on that issue or any other issue. Voters will know Ill put competent judges on the bench. People who will strictly interpret the Constitution and not use the bench to write social policy. That is going to be a big difference between my opponent and me. I believe that the judges ought not to take the place of the legislative branch of government. That theyre appointed for life and that they ought to look at the Constitution as sacred. They shouldnt misuse their bench. I dont believe in liberal activist judges. I believe in strict constructionists. Those are the kind of judges I will appoint. Ive named four supreme court justices in the State of Texas and would ask the people to check out their qualifications, their deliberations. Theyre good, solid men and women who have made good, sound judgments on behalf of the people of Texas.",Pres,2000,2000-10-03,1,What is your stance on judicial appointments and the criteria you will use to select judges?,"Should a voter assume that all judicial appointments you make to the supreme court or any other court, federal court, will also be pro- life?",0.9073551297,0.9218837023,0.7961950898,0.6223145723,Republican,Should a voter assume that all your judicial appointments will be pro-life?,3,
Moderator,What kind of appointments should they expect from you?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"We both use similar language to reach an exactly opposite outcome. I dont favor a litmus test, but I know that there are ways to assess how a potential justice interprets the Constitution. And in my view, the Constitution ought to be interpreted as a document that grows with our country and our history. And I believe, for example, that there is a right of privacy in the Fourth Amendment. And when the phrase a strict constructionist is used and when the names of Scalia and Thomas are used as the benchmarks for who would be appointed, those are code words, and nobody should mistake this, for saying the governor would appoint people who would overturn Roe v. Wade. Its very clear to me. I would appoint people that have a philosophy that I think would have it quite likely they would uphold Roe v. Wade.",Pres,2000,2000-10-03,1,What criteria should be used to assess a potential Supreme Court justice's interpretation of the Constitution regarding key issues like Roe v. Wade?,What kind of appointments should they expect from you?,0.8186211586,0.8867836595,0.6174909472,0.2396303266,Democratic,What kind of appointments should they expect from you?,3,
Moderator,Is the vice president right? Is that a code word for overturning Roe v. Wade?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,It sounds like the vice presidentâ€™s not right very many times tonight. I just told you the criteria on which Ill appoint judges. I have a record of appointing judges in the State of Texas. Thats what a governor gets to do. A governor gets to name supreme court judges. He also reads all kinds of things into my tax plan and into my Medicare plan. I want the viewers out there to listen to what I have to say about it.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,Reverse the question. What code phrases should we read by what you said about what kind of people you would appoint?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"It would be likely that they would uphold Roe v. Wade. I do believe its wrong to use a litmus test. If you look at the history of a lower court judges rulings, you can get a pretty good idea of how theyll interpret questions. A lot of questions are first impression, and these questions that have been seen many times come up in a new context and so — but, you know, this is a very important issue. Because a lot of young women in this country take this right for granted and it could be lost. It is on the ballot in this election, make no mistake about it.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,"Ill tell you what kind of judges hell put on. Hell put liberal activists justices who will use their bench to subvert the legislature, thats what hell do.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,Thatâ€™s not right.,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
