speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean,qud_answer_fit,qud_question_fit
Joe Biden,That's simply not true.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"Well, you're simply going to socialist - - you're going to socialist - - ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"We're now into - - gentlemen, we're now into open discussion. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,Open discussion.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,"Open discussion, yes, I agree. Go ahead, Vice President Biden. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,"Number one, he knows that - - what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any - - and one of the big debates we had with 23 of my colleagues trying to win back the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can, they do, they will under my proposal. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,That's not what you've said and it's not what your party has said.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,That is simply a lie.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,Your party doesn't say it. Your party wants to go socialist medicine.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,My party is me.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,And socialist health care.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"Right now, I am the Democratic Party. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"And they're going to dominate you, Joe, you know that. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,I am the Democratic Party right now. The platform of the Democratic Party - -,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,Not according to Harris.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"- - is what I, in fact, approved of. What I approved of. Now here's the deal; the deal is that it's going to wipe out pre- existing conditions. And by the way, the 20 - - the 200 million - - the 200, 000 people that have died on his watch, they're - - how many of those and - - that have survived? Well, 7 million people have contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act? ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"Joe, you've had 308, 000 military people dying because you couldn't provide them proper health care in the military. So don't tell me about this. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,I'm happy to talk about this.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"And if you were here, it wouldn't be 200. It would be 2 million people because you were very late on the draw. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,Late on the draw.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"You didn't want me to ban China, which was heavily infected. You didn't want me to ban Europe which was heavily infected. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"All right, gentlemen - - ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"You would have been much later, Joe. Much later. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"Mr. President, Mr. President - - ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,We're talking about 2 million people.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,You're not going to - -,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,"Mr. President, as a moderator, we are going to talk about COVID in the next segment but go ahead. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,"Let me finish. The point is that the president also is opposed to Roe v. Wade. That's on the ballot as well, in the court, in the court. And so, that's also at stake right now. And so, the election is already begun. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,You don't know what's on the ballot. Why is it on the ballot?,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,Because - - because you've said - -,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,Why is it on the ballot? It's not on the ballot.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"It's on the ballot, in the court. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,I don't think so.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,In the court. Well - -,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,There's nothing happening there.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"Donald, would you just (inaudible) - - ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,And you don't know her view on Roe v. Wade. You don't know her view.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,I don't know - -,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,"Well, all right, let's - - all right. Let's talk - - I would - - we've got a lot to unpack here, gentlemen. We got a lot of time. So - - ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Chris Wallace,"On health care, and then we'll come back to Roe v. Wade. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,All right.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump administration, along with 18 state attorneys general are seeking to overturn - - ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,That's right.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"- - Obamacare, to end Obamacare. You had spent the last - - ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,Because they want to give good health care - -,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"If I may ask that question, sir. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,Go ahead.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,Good health care.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,"Over the last four years, you have promised to repeal and replace Obamacare but you have never in these four years come up with a plan, a comprehensive plan - - ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"Of course, I have. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,- - to replace Obamacare.,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"Of course, I have. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"Well, I'll give you an - - ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,I got rid of the individual mandate.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"- - when I finish, I'm going to give you an opportunity - - ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,Excuse me. I got rid of the individual mandate which was a big chunk of Obama - -,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,That is not a comprehensive plan.,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,That is absolutely a big thing. That was the worst part of Obamacare.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,I didn't ask - -,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"Chris, that was the worst part of Obama - - ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"Sir, you're debating him, not me. Let me ask my question - - ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"Well, I'll ask Joe. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,No - -,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,The individual mandate was the most unpopular aspect of Obamacare. I got rid of it. And we will protect people with preexisting condition.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,I'm the moderator of this debate and I would like you to let me ask my question and then you can answer your - -,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,Go ahead.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"You, in the course of these four years have never come up with a comprehensive plan to replace Obamacare and just this last Thursday, you signed a largely symbolic executive order to protect people with pre- existing conditions five days before this debate. So my question, sir, is what is the Trump health care plan? ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"All right. Well, first of all, I guess I'm debating you, not him. But that's ok. I'm not surprise. Let me just tell you something, that there's nothing symbolic. I'm cutting drug prices. I'm going with favored nations which no president has the courage to do because you're going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47- year period in government, but you didn't do it. Nobody has done it. So we are cutting health care ",Pres,2020,2020-09-29,1,How do you plan to reduce drug prices and what specific measures will you implement to achieve this?,"You, in the course of these four years have never come up with a comprehensive plan to replace Obamacare and just this last Thursday, you signed a largely symbolic executive order to protect people with pre- existing conditions five days before this debate. So my question, sir, is what is the Trump health care plan? ",0.8722455502,0.9049085379,0.7567427158,0.4188629985,Republican,What is the Trump health care plan?,3,3
Chris Wallace,What about pre- existing conditions?,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,All of the things that we've done,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Donald Trump,"I'll give you an example, insulin. It's going to - - it was destroying families, destroying people, the cost. I am getting it for so cheap, it's like water, you want to know the truth. So cheap. Take a look at all of the drugs that - - what we're doing. Prescription drug prices, we're going to allow our governors now to go to other countries to buy drugs because they pay just a tiny fraction that we do. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"As I say, this is open discussion. Let me ask you about ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,This is big stuff.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"Sir, you'll be happy, I'm about to pick up on one of your points to ask the vice president, which is, he points out that you would like to add a public option to Obamacare, and the argument that he makes and other Republicans make is that that is going to end private insurance and will ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,It is not. Sorry.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,If I can ask you the question. It will end,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"Not what your party says, by the way. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,It will end private insurance and create a government takeover of health care.,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,"It does not. It's only for those people who are so poor they qualify for Medicaid, they can get that free in most states except governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicare - - excuse me, Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"Joe, you agreed with Bernie Sanders's far left on the manifesto, we call it. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,Manifesto? Look,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,And that gives you socialized medicine.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"Look, hey, I'm not going to listen to him. The fact of the matter is I beat Bernie Sanders ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,Not by much.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"I beat him by a whole hell of a lot. I'm here standing facing you, old buddy. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"If "" Pocahontas"" would've left two days early, you would've lost every primary. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,All he knows how to do is hurt,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"On Super Tuesday, you got very lucky. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"Look, here's the deal. I got very lucky, I'm going to get very lucky tonight as well. And tonight I'm going to make sure because here's the deal. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,With what?,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,Here's the deal. The fact is that everything he is saying so far is simply a lie. I'm not here to call out his lies. Everybody knows he's a liar.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Joe Biden,I just want to make sure,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"  last in your class, not first in your class. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,God. I want to make sure,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,"Mr. President, can you let him finish, sir? ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,"No, he doesn't know how to do that. He has ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"You'd be surprised. You'd be surprised. Go ahead, Joe ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"The wrong guy, the wrong night, at the wrong time. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"Listen, you agreed with Bernie Sanders ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,Here's the deal,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Joe Biden,"There is no manifesto, number one. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,"Please let him speak, Mr. President. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,Number two,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,You just lost the left.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,Number two,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,You just lost the left. You agreed with Bernie Sanders on a plan that's absolutely,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Donald Trump,socialized medicine.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,Mr. President,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,"I'll tell you what, he is not for any help for people needing health care. Because his ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"Who, Bernie? ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"Because he, in fact, already has cost 10 million people their health care that they had from their employers because of his recession, number one. Number two, there are 20 million people getting health care through Obamacare now that he wants to take it away. He won't ever look you in the eye and say that's what he wants to do, take it away. Number three ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"No, I want to give them better health care at a much lower price because Obamacare is no good. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,He doesn't know how. He doesn't know how to do that.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,I've already fixed it.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,He has never offered a plan.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,I've already fixed it to an extent.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,He has never done a single thing.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"  as you might know, but probably don't, Obamacare ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"Gentlemen, you realize that you are both speaking at the same time. Let the president - - go ahead, sir. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"Obamacare is no good, we made it better. And I had a choice to make very early on. We took away the individual mandate. We guarantee pre- existing conditions ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,Not true.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"  but took away the individual mandate. Listen, this is the way it is. And that destroyed - - they shouldn't even call it Obamacare. I had a choice to make, do I let my people run it really well or badly? If I run a badly they will probably blame him but they will blame me. But more importantly, I want to help people, ok? I said, you've going to run it so well. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,That's what he's known for.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"And I just had a meeting with them. They said, the problem is no matter how well you run Obamacare, it's a disaster. It's too expensive, premiums are too high ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,I've got to,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,that it doesn't work. So we do want to get rid of it.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,I,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"Chris, we want to get rid of it and do something that's cheaper and better. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"I have to give you roughly equal time. Please let the vice president talk, sir. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,Good.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,He has no plan for health care.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,Of course we do.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,He sends,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,Please.,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,He sends out wishful thinking. He has executive orders that have no power. He hasn't lowered drug costs for anybody. He has been promising a health care plan since he got elected. He has none. Like almost everything else he talks about. He does not have a plan. He doesn't have a plan. And the fact is this man doesn't know what he's talking about. He's,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,"All right. I have one final question for you, Mr. Vice President. If Senate Republicans - - we were talking originally about the Supreme Court here. If Senate Republicans go ahead and confirm Justice Barrett, there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You called this a distraction by the president, but in fact it wasn't brought up by the president; it was brought up by some of your Democratic colleagues in the Congress. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,I'm saying,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,"So my question to you, is you have refused in the past to talk about it. Are you willing to tell the American people tonight whether or not you will support either ending the filibuster, or packing the court ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,"Whatever the position I take on that, that will become the issue. The issue is the American people should speak. You should go out and vote. You're in voting now. Vote and let your senators know how strongly you feel. Vote now. Make sure you in fact let people know. ",Pres,2020,2020-09-29,1,What should the American people do to express their views on important issues?,"So my question to you, is you have refused in the past to talk about it. Are you willing to tell the American people tonight whether or not you will support either ending the filibuster, or packing the court ",0.8803104162,0.8853732347,0.6544177532,0.2453787029,Democratic,"Will you support either ending the filibuster, or packing the court?",3,1
Donald Trump,He doesn't want to answer the question.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,I'm not going to answer that question because,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,Why wouldn't you answer that question?,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,The question is,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,The radical left,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"Would you shut up, man? ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"Who is on your list, Joe? Who's on your list? ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,this is so unpresidential.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,He's not going to give a list.,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,We have ended this segment; we are going to go onto the second segment.,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"That was really a productive segment, wasn't it? ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"Keep yapping, man. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"The people understand, Joe. Forty- seven years, you've done nothing, they understand. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"So my question to you, is you have refused in the past to talk about it. Are you willing to tell the American people tonight whether or not you will support either ending the filibuster, or packing the court ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,"Good luck. Two hundred thousand dead. As you said, more than 7 million infected in the United States. We in fact have 5 percent - - we're 4 percent of the world's population - - 20 percent of the deaths. Forty thousand people a day or contracting COVID. In addition to that, about between 750 and 1, 000 people a day are dying. When he was presented with that number, he said it is what it is. Well, it is what it is, because you are who you are. That's why it is. The president has no plan. He hasn't laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He's on tape as acknowledging he knew it. He said he didn't tell us or give people a warning about it because he didn't want to panic and the American people. You don't panic; he panicked. In addition to that, what did he do? He went in and he - - we were insisting that the - - the - - the people we had on the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that. He told us what a great job Xi was doing. He said we owe him a debt of gratitude for being so transparent with us. And what did he do then? He then did nothing - - he waited and waited and waited. He still doesn't have a plan. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,Well,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Chris Wallace,"Sir, just a minute. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
